bedrooms,bathrooms,sqft_above,floors,sqft_lot15,sqft_living15,sqft_basement
4,2.5,1980,2.0,7510,1980,0
5,2.75,3520,2.0,6250,2520,0
3,1.0,1200,1.0,10500,1350,0
3,1.5,1290,1.0,4500,1570,290
3,1.5,1290,1.0,4500,1570,290
4,2.5,2390,1.0,6045,1950,910
3,1.75,1960,1.0,15616,1750,0
4,1.5,1160,1.0,6400,1160,0
3,2.5,1270,1.5,4500,2200,800
3,2.0,1440,1.5,3478,1610,540
3,2.5,2920,2.0,8113,2370,0
3,1.0,1210,1.0,14910,1640,0
3,2.5,1460,1.0,8162,2250,880
3,1.0,1170,1.5,4005,1240,500
2,1.75,1240,1.0,4966,1270,0
5,1.75,2030,2.0,9433,2500,0
4,2.5,2310,2.0,9636,1940,0
3,1.75,700,1.0,3536,1380,560
3,1.75,1160,1.0,11656,1540,380
3,1.75,1080,1.0,5500,2090,1000
4,2.5,2520,2.0,8517,2640,710
3,3.5,1590,3.0,3166,1620,0
2,1.0,880,1.0,6780,1190,0
4,2.0,1570,1.0,9000,1880,0
4,1.0,1610,1.5,4040,1610,0
3,2.5,1560,1.0,10856,2340,840
3,2.0,1450,1.0,9104,1580,0
2,1.0,770,1.0,6000,1710,0
4,1.75,1720,1.5,4400,1850,380
3,2.25,2910,2.0,13992,2700,0
4,2.75,1980,1.5,11275,3060,770
3,2.25,1620,1.0,8712,2660,480
4,2.25,1360,1.0,8400,2090,800
5,3.5,1720,2.0,4960,1700,600
4,2.5,2070,2.0,3748,1970,0
3,1.75,1060,1.0,7680,1420,0
4,2.25,1440,1.0,9793,2060,570
3,2.5,1390,2.0,1662,1690,620
4,3.5,2140,3.0,2285,1540,0
4,1.75,1010,1.0,8140,1750,1010
4,2.25,1340,1.0,10436,1550,1250
2,1.0,1190,1.0,5715,1060,0
3,2.25,1170,3.0,1310,1350,0
2,1.0,1110,1.0,3600,1170,0
5,2.5,1550,1.0,9375,2820,1270
3,1.0,1010,1.0,8579,1610,600
3,1.0,940,1.0,7940,1560,120
4,2.25,1380,1.0,8824,2230,650
4,1.0,2370,2.0,4000,2200,180
3,1.0,980,1.0,4599,1450,450
3,2.0,1360,2.0,3090,1500,0
3,1.0,1110,1.5,5000,1420,0
3,1.0,1250,1.0,8633,1680,0
3,1.0,1180,1.0,7669,1190,0
4,2.75,1620,1.0,7875,1980,1020
3,2.0,1270,1.5,7198,1160,0
4,1.75,1760,1.0,11180,1730,0
5,2.25,1030,1.0,11680,1010,1030
3,1.75,1780,1.0,9660,1200,0
3,2.5,3400,2.0,12601,3400,0
3,2.75,1160,1.0,8152,1710,750
3,1.75,1180,1.0,7500,1640,400
2,1.75,700,1.0,9750,1830,640
4,2.5,2680,2.0,4500,2920,0
3,2.5,1610,1.0,8750,2480,1070
3,2.0,1370,1.0,7288,1770,0
3,1.75,1560,1.0,7920,1070,0
3,1.75,1670,1.0,7350,1930,490
3,1.5,1340,1.5,7940,1480,0
4,2.25,2590,2.0,8335,2260,0
3,2.5,820,2.0,1795,1590,300
5,2.75,1320,1.0,2150,1280,650
3,1.0,1220,1.0,4800,1200,0
3,1.5,1320,1.0,8941,1950,630
2,1.0,1060,1.0,8280,1540,290
3,2.5,1670,2.0,6183,1670,0
4,3.0,1680,1.5,5375,1410,700
4,3.0,2440,2.0,9600,2290,0
2,1.5,1050,2.0,3417,1050,0
4,2.75,2140,2.0,9984,2260,990
4,1.75,1100,1.0,8910,2190,390
3,2.5,1900,2.0,8744,2030,0
4,1.0,1330,1.5,4400,1330,0
3,2.25,1430,1.0,9340,2230,800
3,1.75,1220,1.0,8400,1540,430
3,1.0,1190,1.0,7980,1230,0
3,2.5,2140,1.0,10083,2680,0
3,2.5,1420,1.0,7818,1900,760
3,1.0,1060,1.0,10228,1570,0
3,2.5,1690,2.0,5001,2550,0
4,2.0,1130,1.5,6480,1500,840
3,2.5,2150,2.0,2385,1750,0
3,1.0,860,1.0,9514,1300,0
3,2.5,1940,2.0,10450,2030,0
3,1.0,1010,1.0,5000,1680,0
3,1.5,900,1.0,7500,1430,400
3,1.0,910,1.0,8040,1400,0
4,1.75,1630,1.0,10744,2770,850
3,2.5,2440,2.0,4587,2750,0
3,1.0,1010,1.0,5000,1290,0
2,0.75,900,1.0,14280,1250,0
4,2.25,1550,2.0,6397,1630,0
3,2.25,1060,2.0,1327,1160,210
4,2.5,2240,1.0,12368,2520,0
4,2.75,1720,2.0,8700,2130,0
2,1.0,850,1.0,14459,1100,0
3,2.5,2250,2.0,5390,1320,0
2,1.5,1320,1.0,12040,2120,0
4,2.5,2760,2.0,8127,3070,0
3,2.0,1350,1.0,10125,1900,400
4,2.25,2330,2.0,10055,1910,0
3,2.25,1780,1.0,9583,2080,440
3,2.25,2020,2.0,8031,2020,0
3,2.25,1250,1.0,7392,1280,0
2,2.0,1510,1.0,6009,1640,0
4,2.25,1120,1.0,9753,1510,600
3,1.0,980,1.0,13068,1960,450
3,2.5,1480,2.0,4729,2250,0
2,1.75,1230,2.0,13193,2030,220
4,2.75,2280,1.0,15347,2280,0
2,1.0,1000,1.0,13702,1150,0
3,1.5,1620,1.5,4800,2090,860
4,1.0,1670,1.5,4740,1510,300
3,1.75,1430,1.0,8640,1190,0
2,1.0,830,1.0,4960,830,0
2,1.0,1430,1.5,3750,1450,0
3,1.0,1300,1.0,8316,1260,0
2,1.0,790,1.0,3060,1390,240
3,2.5,2740,2.0,10377,2570,0
2,1.5,720,1.0,2566,1150,0
4,2.0,2010,1.0,7650,2010,0
3,1.75,770,1.0,3000,1390,790
3,2.0,1240,1.0,7209,1750,570
4,2.5,3360,2.0,6567,3060,0
3,1.0,800,1.0,6331,1620,600
3,2.5,1730,2.0,6458,1630,0
2,2.0,1420,1.5,6816,1420,0
4,1.75,1180,1.0,7620,1910,1180
3,1.75,1200,1.0,10650,1550,380
3,1.0,1230,1.0,10098,1380,0
4,2.5,2460,2.0,5659,2990,0
3,1.0,1460,1.5,4400,1660,200
3,1.75,1270,1.0,8470,1600,0
2,1.0,770,1.0,2580,1330,0
4,2.5,1700,2.0,7475,1950,0
3,1.0,1120,1.0,6350,1130,0
2,1.0,1070,1.0,4465,1320,0
3,2.5,1420,1.0,8250,2070,650
2,1.0,1040,1.0,7530,1440,0
3,1.0,1700,1.0,8164,1350,0
3,1.0,1300,1.0,7619,1320,0
3,1.75,580,1.0,2225,1440,500
3,2.5,2653,2.0,4927,2653,0
3,2.0,2290,1.0,10530,1660,0
4,2.75,2850,2.0,12136,1860,970
3,1.75,1240,1.0,6000,2020,1150
4,1.75,1610,1.0,11088,1720,990
2,1.0,860,1.0,8775,1650,0
5,3.0,2630,2.0,7556,3050,1200
3,3.0,1740,1.0,13300,2570,680
4,2.5,2720,2.0,8100,2410,0
5,2.25,1850,1.0,9750,2300,650
3,1.75,1140,1.0,7320,1670,530
2,1.0,1140,1.0,13527,1520,500
4,2.5,1890,2.0,15256,2410,0
4,1.75,1780,1.0,9600,2120,1170
4,2.5,2160,2.0,9937,2280,0
4,3.0,2270,2.0,11004,2320,1010
3,2.0,1270,2.0,4166,2390,700
4,2.5,3360,2.0,11374,3150,0
3,2.0,1320,1.0,7316,1740,0
3,2.5,2650,2.0,7220,2400,0
3,1.5,1330,1.0,5592,2140,700
3,1.75,1090,1.0,9052,1630,500
3,2.5,2440,2.0,7903,2510,0
3,2.5,970,1.0,7310,2190,970
3,2.5,2040,2.0,4590,2370,0
3,2.25,1120,1.0,10139,1460,1080
3,1.75,960,1.0,4000,1740,960
4,2.75,1400,1.0,8275,1800,400
4,2.25,2180,2.0,9781,2250,0
2,1.0,1010,1.5,5000,1460,0
4,2.75,2220,2.0,8330,2720,1100
4,2.5,1980,1.5,5750,2440,390
5,2.5,3370,2.0,5400,2880,280
4,2.25,1350,1.0,7350,2150,600
3,2.0,1720,1.0,8162,1570,870
2,1.0,1170,1.0,3864,1570,300
4,1.0,800,1.0,8775,1310,0
5,2.75,3150,2.0,8384,1560,0
3,2.0,1450,1.0,9518,1520,0
3,1.75,1510,1.0,9753,1510,0
2,1.0,960,1.0,7460,1820,280
2,1.0,960,1.0,7460,1820,280
4,2.0,2050,1.5,5500,2320,0
3,1.0,1000,1.0,7600,1150,0
3,2.25,1590,1.0,10004,2500,780
4,3.5,1890,2.0,6120,2370,910
3,2.0,1810,1.0,10450,1910,0
2,1.0,1070,1.0,5000,1710,0
4,2.0,2490,2.0,9525,2770,0
4,2.5,1960,2.0,5894,1800,0
3,2.75,1860,1.0,11045,2580,1070
4,2.0,1510,1.5,3750,1820,0
3,1.75,1420,1.0,8000,1740,0
4,1.75,2560,2.0,14764,2560,0
4,3.5,2420,2.0,8066,3470,620
3,1.75,1300,1.0,8691,1580,1200
4,2.5,2580,2.0,5823,2380,0
4,1.0,1000,1.0,7138,1020,0
4,1.0,1000,1.0,7138,1020,0
3,2.0,1390,1.0,12080,1720,0
4,1.75,1250,1.0,8646,2040,1250
4,2.75,2270,2.0,10180,2610,0
3,1.0,1300,1.0,14400,1940,600
2,1.0,790,1.0,3120,1930,200
4,1.75,1100,1.0,5766,1600,1100
4,2.5,1910,2.0,5091,2010,0
4,1.0,1750,1.5,10530,1750,0
3,2.5,1980,2.0,5750,1520,460
5,2.5,2760,2.0,11340,2470,0
4,2.5,1820,2.0,8168,1820,0
3,2.5,1340,1.0,9363,2040,770
5,2.5,1640,1.0,8800,2920,1400
4,2.5,2990,2.0,17449,2140,0
4,3.0,1370,1.0,7650,1810,720
3,2.25,1430,2.0,7220,1430,0
4,2.25,1100,1.0,6929,1810,1080
4,2.25,1100,1.0,6929,1810,1080
5,3.0,3450,2.0,9721,2860,0
3,2.25,1450,2.0,7625,1650,0
4,2.5,3230,2.0,7447,3480,0
3,1.75,1110,1.0,12600,1770,530
3,3.0,1060,1.0,7500,1680,530
4,2.0,2020,2.0,3120,1910,0
3,1.5,1300,1.5,2577,1590,0
3,3.0,3030,2.0,14142,3360,1010
4,2.25,2130,2.0,6930,2300,0
4,2.25,1580,1.0,8050,2420,970
4,2.25,2510,2.0,9691,2450,0
3,2.0,1410,1.0,9600,1410,0
3,2.0,1160,1.0,7350,1710,490
4,2.5,2120,2.0,12000,1880,0
4,1.5,1380,1.0,10020,1610,660
4,1.0,1550,1.5,7620,1450,0
3,2.75,1980,2.0,2856,1950,0
4,2.75,3300,2.0,12239,3180,0
2,1.0,1220,1.0,9600,2000,0
5,2.25,1500,1.0,8800,2110,1220
4,2.0,1940,1.0,10071,2000,0
3,2.5,1260,1.5,3500,1060,900
4,1.75,1530,1.5,8750,1390,0
3,3.5,1290,2.0,1543,1630,420
2,1.0,940,1.0,4500,1560,0
4,2.5,1820,2.0,7107,1820,0
3,3.25,1330,2.0,1352,1510,180
3,2.0,1290,3.0,3235,1290,0
3,2.0,1570,1.0,5250,1570,0
4,2.5,1930,2.0,6996,2090,0
3,2.5,1550,2.0,8134,1550,0
3,2.5,2000,2.0,8118,2450,0
4,1.5,2390,1.5,6867,2850,0
4,2.25,1290,1.0,8660,1910,910
3,2.25,1860,2.0,5465,2320,0
2,1.0,950,1.0,4050,1320,0
3,1.75,1600,1.0,9800,1580,0
3,2.5,2250,2.0,11632,2360,0
3,2.5,2280,2.0,10094,2310,0
2,1.0,940,1.0,5120,1300,0
3,2.5,1030,1.0,8140,1850,500
3,2.0,1770,1.0,15715,3530,580
4,2.0,1200,1.0,9660,1460,240
3,2.5,2200,2.0,5082,2310,0
4,3.0,2290,2.0,8250,2290,0
4,2.5,1920,1.5,3277,1810,690
3,2.5,1490,2.0,2094,1490,0
4,2.5,2450,2.0,4674,2300,0
4,2.5,1440,1.0,9131,2140,270
5,2.5,3470,2.0,11398,3180,1400
3,2.5,3130,2.0,9003,2860,0
2,2.0,1270,3.0,3090,1610,0
3,1.75,1540,1.0,11760,2460,580
3,1.5,1670,1.0,4910,2077,0
3,2.25,2070,2.0,7519,1890,0
2,1.0,1070,1.0,5406,2400,350
3,1.0,940,1.0,8050,1150,0
3,1.75,1920,1.0,9760,1920,0
3,2.5,2610,1.0,7704,3630,935
3,2.0,1260,1.0,5460,1510,0
5,2.5,1300,1.0,7221,1930,1040
3,2.25,1440,1.0,9450,2580,1150
3,1.75,1220,1.0,10007,1630,0
3,1.0,1400,1.0,10209,1230,0
3,2.75,1710,1.0,16117,2120,650
3,1.75,1870,1.0,10005,1900,0
3,2.5,2830,2.0,5788,2500,0
3,2.5,2260,2.0,3710,2350,0
4,2.5,1770,1.0,9600,2460,1370
3,1.75,1240,1.0,8223,1490,0
4,3.5,3450,2.0,8567,3220,0
3,2.25,2570,2.0,8049,2400,0
3,2.0,1510,2.0,3777,1570,0
4,2.25,2390,2.0,11250,2480,0
3,1.0,980,1.0,7000,1220,0
3,1.75,1480,1.0,6360,1480,0
4,2.5,1850,2.0,7329,2100,0
3,2.0,1920,1.0,14833,1770,350
3,2.5,1810,2.0,6200,1810,0
2,2.0,1610,2.0,12950,1310,0
4,2.75,3130,2.0,8400,2820,980
4,2.75,3390,2.0,7111,3390,0
4,2.25,1890,2.0,3000,1580,0
3,2.5,1080,2.0,4173,1610,530
3,1.5,850,1.0,5400,1770,200
2,1.0,630,1.0,6550,1420,0
4,2.75,1780,1.0,10988,2920,1130
4,1.75,850,1.0,9000,1620,850
3,2.5,1950,2.0,7691,2350,0
3,3.0,2990,2.0,11553,2230,0
3,1.5,900,1.0,6012,1730,450
4,2.5,1460,1.0,8250,2060,700
2,2.0,890,1.0,5000,1860,0
4,2.75,2810,2.0,7302,2820,0
5,2.5,3400,2.0,11081,3080,0
4,1.5,960,1.0,7350,1560,620
3,2.0,1680,1.0,4921,1680,0
3,1.75,1300,1.0,10794,1300,0
5,2.5,2380,2.0,10392,1910,440
3,2.0,1070,1.0,6600,1660,440
2,2.5,870,2.0,1350,1240,360
4,2.0,1710,2.0,4420,1440,400
2,1.5,1190,1.5,4025,1590,300
3,2.5,2120,2.0,4816,2530,0
4,2.5,3180,2.0,5335,3030,0
2,1.0,860,1.0,3825,1460,630
3,2.0,1930,1.0,12825,2200,0
4,2.5,2770,2.0,10000,2720,0
3,1.5,1670,1.0,10200,1930,0
2,1.75,1330,1.0,11682,1450,0
3,1.0,1210,1.5,3333,1640,0
3,1.0,1030,1.0,5100,1690,160
2,1.0,820,1.0,5538,1420,720
4,1.75,1580,1.0,8750,1980,850
4,2.5,2600,2.0,7787,2830,0
4,1.0,1330,1.5,660,1220,0
3,1.75,950,1.0,5000,1770,950
2,1.0,1100,1.0,7680,1460,0
3,1.0,1580,1.5,11811,1860,400
3,2.5,2400,2.0,8615,2080,0
4,2.25,3390,2.5,9323,2950,1370
3,1.0,1190,1.0,7560,1190,0
2,1.0,630,1.0,6840,1470,0
5,3.0,1520,1.0,4011,2290,1010
4,1.5,1690,1.0,9040,1690,0
2,1.0,940,1.0,5000,940,0
2,2.0,1240,1.0,9121,1380,0
4,2.5,3040,2.0,6587,2740,0
4,1.0,1590,1.5,7085,1320,0
3,2.5,1320,1.0,7848,1680,460
2,1.5,1360,2.0,1898,1360,0
3,1.5,1010,1.0,9660,1400,0
3,1.0,1040,1.0,7405,1580,0
3,2.25,1610,2.0,7529,1780,0
4,1.75,1570,1.0,8190,1870,0
2,2.0,1010,1.0,4000,1920,500
3,2.0,1360,1.0,6987,1360,0
4,2.5,1970,2.0,5109,2230,0
4,2.5,1560,2.0,4350,1560,0
4,1.75,2270,1.0,9880,2120,50
3,2.25,2120,1.0,13492,2480,0
3,2.25,2120,2.0,14479,2120,0
4,2.5,2380,2.0,9770,2560,0
2,2.0,720,2.0,928,1070,350
4,2.75,1560,1.0,9588,1870,740
2,1.0,1320,1.0,6490,1190,0
3,1.75,1140,1.0,8535,2180,1040
3,3.0,3580,2.0,7680,3080,800
3,1.75,1790,2.0,10125,1520,0
2,1.0,750,1.0,8750,1340,0
3,1.5,1300,1.0,8692,1570,0
4,1.0,1400,1.5,7314,1310,0
4,2.5,2050,2.0,8103,2050,0
3,2.5,2870,2.0,7995,1630,0
3,1.75,1370,1.0,8944,1870,710
3,2.5,1840,2.0,4697,1600,0
3,1.0,1180,1.5,5350,1490,0
5,2.75,1530,1.5,4000,2040,630
3,1.0,1180,1.5,3400,1440,0
4,2.5,1830,2.0,5998,1830,0
5,3.0,1760,1.5,5445,1080,800
5,2.75,2550,1.5,3840,1590,0
3,1.75,1040,1.0,9081,1330,290
3,2.5,1805,2.0,3402,2095,0
4,2.5,2320,2.0,5471,2450,0
3,1.0,1384,1.0,8470,1000,0
3,2.5,2720,2.0,7320,3180,0
3,1.5,1820,1.0,8976,1380,0
2,2.25,1530,1.5,4920,2130,600
4,2.25,2060,2.0,8155,2060,0
4,1.75,1080,1.0,7260,1500,340
3,1.75,1510,1.0,15744,1470,0
3,2.5,1960,1.5,5120,2160,200
3,2.5,3180,2.0,12835,3030,0
3,2.25,2110,2.0,14000,2470,0
3,2.0,1330,1.5,3900,1910,730
3,2.5,1610,2.0,3049,1610,0
4,2.5,1780,2.0,3802,2020,0
4,2.5,1840,2.0,8505,1830,0
3,1.75,990,1.0,12012,1220,470
2,2.5,1400,2.0,2385,1540,0
3,2.5,3370,2.0,9691,3330,0
4,3.0,3590,2.0,7995,2860,0
4,2.25,3200,2.0,15263,3070,0
2,1.75,1670,1.0,6254,2170,0
3,1.75,1430,2.0,10816,1560,0
3,1.75,1440,1.0,7210,1440,0
3,2.25,1450,2.0,4490,1560,0
2,3.0,1110,2.0,1800,1290,160
2,1.0,940,1.0,6930,1150,0
3,2.0,1300,1.0,7586,1660,370
2,2.5,1100,3.0,1415,1200,0
3,2.0,1230,1.0,4050,1780,640
3,2.5,1930,2.0,5085,2190,0
3,2.75,2540,2.0,6344,2600,0
3,1.75,1280,1.5,7777,1500,0
3,2.25,1280,1.0,7515,1810,540
3,2.25,1490,2.0,10125,1290,0
3,2.5,1880,2.0,5411,2040,0
3,1.0,1250,1.0,9650,1390,0
3,2.0,1440,1.0,7245,1700,0
3,2.5,1920,2.0,7536,1930,0
3,2.5,1330,1.0,5750,1920,730
3,1.5,1210,1.0,10588,1408,0
2,1.75,940,1.0,5000,1530,820
3,1.0,990,1.0,6860,1440,0
3,1.0,820,1.0,6600,1200,140
3,2.5,1660,3.0,1784,1660,0
3,1.75,1330,1.0,9375,2760,570
3,2.25,990,1.0,4000,1920,280
3,1.0,960,1.0,8610,1080,0
2,1.75,960,1.0,6000,1620,370
3,1.75,1600,1.0,7700,1680,480
3,2.5,2130,1.0,11782,2390,560
2,1.0,770,1.0,4080,1760,120
3,1.75,1070,1.0,7990,1200,0
3,1.0,1200,1.0,8316,1200,0
3,1.5,1360,2.0,8912,1220,0
3,2.0,2050,1.0,11590,2180,0
3,1.5,2000,2.0,5750,1820,1000
2,2.0,800,1.0,5500,950,500
4,2.5,1340,1.0,7802,1540,910
3,2.5,1530,3.0,1352,1510,130
3,2.5,2360,2.0,4744,2360,0
3,1.75,1150,1.0,8125,1760,610
3,1.75,1680,1.5,5100,1680,0
3,1.75,870,1.0,2750,1580,450
4,1.0,1260,1.5,7649,1170,0
3,1.0,1000,1.0,8640,1300,0
3,1.0,1120,1.0,6900,2000,800
3,2.0,1380,1.5,6500,1940,770
3,2.5,1470,2.0,4400,1490,0
3,2.5,3180,2.0,9812,3000,0
3,1.0,990,1.0,6000,1250,0
4,3.5,1970,2.0,3380,2180,800
3,1.5,1250,1.0,9185,1750,0
3,1.75,1140,1.0,15625,1150,0
4,2.5,1550,1.0,11400,2090,700
3,2.5,1640,2.0,6000,1880,0
3,1.5,1255,3.0,1232,1307,0
3,1.0,1290,1.0,11632,1390,0
3,1.75,1300,1.0,7369,1890,0
3,1.5,1220,3.0,1422,1220,0
4,2.5,2630,3.0,4000,1640,0
3,1.5,1950,1.0,12667,1940,0
4,3.25,2360,2.0,4000,2220,800
3,1.75,860,1.0,5600,1880,690
4,2.5,850,1.0,6380,1380,850
4,2.75,1630,1.0,11211,2390,880
4,1.75,1800,2.0,4620,2180,0
3,2.25,1350,1.0,9579,2230,520
2,1.0,1010,1.0,7000,1150,0
2,1.5,1120,1.0,8056,1690,0
3,1.0,1200,1.0,5300,1850,890
3,2.0,970,1.0,7187,1440,470
4,2.5,3190,2.0,7323,3250,0
4,3.5,1750,2.0,5775,1620,630
4,1.0,1420,1.5,5413,1110,0
5,2.75,2990,2.0,6768,2870,0
3,2.5,2680,2.0,8231,2430,0
4,2.5,2730,2.0,6216,2730,0
3,1.0,1220,1.0,8322,1490,0
3,1.0,1500,1.0,13950,1820,0
3,1.75,1430,1.0,11964,2140,400
4,2.25,2470,2.0,7986,2330,0
2,1.0,670,1.0,4343,1210,130
3,2.0,1410,1.0,6222,1670,0
4,1.75,1100,1.0,10369,2400,580
3,1.75,920,1.0,13475,1350,840
4,2.25,2240,2.0,11550,2300,0
2,1.0,1380,1.5,5000,1500,0
2,1.0,820,1.0,5304,1170,0
4,2.0,1730,1.0,12010,2180,450
4,2.0,1100,1.0,2048,1630,300
2,1.0,880,1.0,10000,1410,0
2,1.0,1060,1.0,4416,2240,0
3,1.75,1530,1.0,7490,1530,0
4,1.75,1460,1.0,10800,2910,1020
3,1.75,1490,1.0,9100,1350,0
4,2.5,2340,2.0,6818,1970,0
3,1.75,1450,1.0,12125,1210,0
4,2.5,2210,2.0,8799,2440,0
4,1.0,1130,1.0,7379,1540,0
5,1.75,1100,1.0,9823,1420,450
4,1.75,1010,1.0,8960,1770,700
3,1.5,1010,1.0,8108,1300,0
3,2.0,1300,1.0,9656,1430,0
3,2.5,1670,2.0,6924,2390,0
2,1.0,960,1.0,4080,1300,0
3,2.5,1770,2.0,2708,2510,370
5,3.0,1550,1.0,8000,1700,970
3,1.5,1130,1.0,8856,1720,520
2,1.75,1440,1.0,3547,1320,0
2,1.0,1050,1.0,5900,1280,0
3,1.75,1130,1.0,7500,1590,340
3,1.75,1370,1.0,9796,2460,600
3,2.25,1540,2.0,11439,1560,0
3,2.75,2090,2.0,6348,2280,0
4,2.5,2156,2.0,3539,1708,0
4,2.25,2070,2.0,7700,2390,0
3,1.0,1270,1.0,6816,1500,640
3,1.75,1260,1.0,8048,2360,660
3,3.25,2290,2.0,6435,3090,1110
3,2.0,1400,1.0,8547,2020,0
4,2.5,2210,2.0,16907,2210,0
2,1.75,1020,1.0,5441,1170,150
3,1.0,1160,1.0,9650,1160,0
3,1.0,900,1.0,4000,950,600
4,2.5,2940,2.0,6600,2510,0
4,1.75,1300,1.0,5400,2180,710
3,2.5,2170,2.0,4395,2010,0
3,1.5,1250,1.0,6240,2210,180
4,1.5,1070,1.0,6630,1450,440
3,1.0,800,1.0,6908,1150,350
3,1.75,1140,1.0,7500,2510,1010
3,1.0,1230,1.0,5520,1370,140
2,2.5,2380,1.0,6600,1870,0
3,1.75,770,1.0,3600,1390,600
3,1.75,1070,1.0,14960,2140,530
2,2.25,2910,2.0,4500,3220,1040
4,2.25,2400,1.0,10077,2580,0
5,1.5,2830,2.5,4000,1480,0
3,2.25,1050,2.0,1316,1210,140
4,2.75,2730,2.0,4924,2230,0
3,2.75,1610,1.0,7939,1920,780
4,2.25,1290,1.0,9864,2360,1200
3,1.75,1100,1.0,7799,1400,0
4,2.5,1470,1.0,6099,2180,960
3,2.5,2360,2.0,13125,2970,810
4,2.5,2640,2.0,8700,2240,0
3,1.5,1130,1.0,7356,1320,0
5,2.0,1940,1.5,8724,1940,0
2,2.0,1100,1.5,4000,1390,0
3,1.0,1200,1.0,9950,1370,0
3,2.25,1000,1.0,8250,2070,1000
3,2.5,1730,2.0,7409,1910,160
4,2.0,1060,1.0,2874,1520,850
4,2.5,2710,2.0,6000,2520,0
3,1.75,970,1.5,7504,2030,620
3,1.5,1050,2.0,887,1180,190
4,1.0,2000,2.0,1452,1260,0
5,1.75,1930,1.0,8000,2370,0
2,1.0,1280,1.0,5670,1540,0
3,1.5,1140,1.0,9936,1410,800
3,2.5,1800,2.0,5952,1800,0
3,1.75,1400,1.0,8636,1830,330
4,2.5,2810,2.0,12672,3100,0
4,1.0,1330,1.5,8588,1570,0
4,1.0,1090,1.0,3844,1180,670
4,2.0,1740,1.0,7700,1850,0
3,2.5,2100,2.0,4700,2100,0
3,2.0,1340,1.5,4590,2030,0
3,2.5,1630,2.0,4779,1380,0
5,2.5,2990,2.0,13076,3150,0
4,1.0,1550,1.5,7740,1220,0
3,2.25,1690,2.0,5036,1800,0
4,2.25,1960,2.0,12230,1910,0
3,2.75,1360,1.0,10713,2140,1030
