waterfront,view,condition,grade,yr_built,yr_renovated
0,0,5,5,1949,0
0,0,3,9,1999,0
0,0,4,8,1979,0
0,0,5,7,1964,0
0,0,3,7,1954,0
0,0,4,7,1978,0
0,0,3,7,1955,0
0,0,3,10,1984,0
0,0,4,8,1980,0
0,0,3,8,2008,0
0,0,3,7,1986,0
0,0,3,6,1901,0
0,2,4,7,1975,0
0,0,3,7,1949,0
0,0,3,7,1988,0
0,0,4,7,1925,0
0,0,5,7,1961,0
0,0,3,7,1996,0
0,0,3,9,1993,0
0,2,4,10,1986,0
0,0,4,8,1969,0
0,0,3,8,1987,0
0,0,4,6,1901,0
0,0,3,8,1975,0
0,0,3,7,1977,0
0,0,3,6,1959,0
0,0,4,8,1959,0
0,0,4,7,1962,0
0,0,3,7,1948,0
0,0,3,8,2003,0
0,0,5,7,1920,0
0,0,3,8,2007,0
0,0,3,7,1997,0
0,0,4,7,1969,0
0,0,4,6,1943,0
0,0,3,8,1994,0
0,0,3,7,1952,0
0,0,4,7,1976,0
0,0,4,6,1962,0
0,0,4,9,1966,0
0,0,3,8,2010,0
0,0,3,7,1915,0
0,0,3,6,1941,0
0,0,3,7,1920,1994
0,0,3,8,1993,0
0,0,3,8,2014,0
0,0,3,9,1983,0
0,0,3,9,2005,0
0,0,3,8,1978,0
0,0,3,6,1923,0
0,3,3,9,1957,1991
0,0,3,8,2000,0
0,3,3,8,1947,0
0,0,4,8,1947,0
0,0,3,10,1999,0
0,0,3,7,1961,0
0,0,3,8,1987,0
0,0,4,8,1966,0
0,0,3,7,1994,0
0,0,5,7,1942,0
0,0,3,8,2005,0
0,0,4,7,1978,0
0,0,4,7,1961,0
0,0,3,7,2004,0
1,4,3,7,1915,1978
0,0,5,7,1960,0
0,0,3,8,1978,0
0,0,3,6,1961,0
0,0,5,7,1947,0
0,0,3,10,1983,0
0,0,5,7,1976,0
0,0,3,7,1904,2005
0,0,3,10,1993,0
0,2,4,9,1965,0
0,0,4,7,1968,0
0,0,3,6,1940,0
0,0,2,7,1925,0
0,0,4,6,1954,0
0,2,4,7,1918,0
0,0,3,9,1990,0
1,4,3,9,2000,0
0,0,3,6,1954,0
0,0,4,7,1976,0
0,0,4,6,1918,0
0,0,4,7,1978,0
0,0,3,9,2001,0
0,0,3,8,1991,0
0,0,3,7,1953,0
0,0,3,7,1987,0
0,2,5,7,1928,0
0,0,4,7,1955,0
0,0,4,7,1974,0
0,0,3,7,1979,0
0,0,3,8,2006,0
0,0,3,8,1911,0
0,0,4,7,1960,0
0,0,3,10,1979,0
0,0,3,5,1930,0
1,4,5,5,1936,0
0,0,4,7,1988,0
0,0,3,7,1954,0
0,0,3,7,1937,0
0,0,3,8,1979,0
0,2,3,11,1982,2008
0,0,4,11,1989,0
0,0,4,7,1939,0
0,0,4,7,1967,0
0,0,3,7,1961,0
0,0,3,7,1954,2003
0,0,3,8,2006,0
0,0,5,8,1960,0
0,0,3,9,2014,0
0,0,3,8,1997,0
0,0,3,6,1908,0
0,0,4,7,1969,0
0,0,3,6,1931,0
0,1,5,9,1905,1994
0,0,3,9,2005,0
0,0,4,8,1988,0
0,0,3,9,1992,0
0,0,3,7,1979,0
0,0,3,7,1980,0
0,0,3,8,1985,0
0,0,4,7,1954,0
0,0,4,7,1968,0
0,2,4,8,1975,0
0,0,3,9,1992,0
0,0,3,8,1986,0
0,3,5,8,1929,0
0,0,3,10,1994,0
0,0,3,7,1993,0
0,0,3,8,1990,0
0,0,3,7,1963,0
0,2,3,7,1957,0
1,4,3,10,2002,0
0,0,3,8,1998,0
0,0,4,7,1948,0
0,0,3,8,2006,0
0,0,4,7,1964,0
0,0,4,8,1913,0
0,0,4,8,1965,0
0,0,3,8,1984,0
0,0,4,6,1908,0
0,0,5,8,1960,0
0,2,5,8,1928,0
0,0,3,6,1915,0
0,4,5,10,1921,0
0,3,3,11,1997,0
0,3,3,11,1997,0
0,0,3,8,1979,0
0,0,5,8,1948,0
0,0,4,8,1988,0
0,0,4,7,1916,0
0,0,3,6,1943,0
0,0,3,9,2013,0
0,0,3,8,1984,0
0,0,3,7,2003,0
0,0,3,7,1969,0
0,0,3,6,1922,1984
0,0,3,6,1922,1984
0,0,3,9,1987,0
0,0,4,9,1922,0
0,0,2,7,1952,0
0,0,4,9,1977,0
0,0,3,9,1951,2002
0,0,4,7,1955,0
0,2,3,8,1991,0
0,0,3,7,1924,0
0,0,5,9,1968,0
0,0,3,7,2003,0
0,0,3,9,2004,0
0,0,5,7,1911,0
0,0,3,7,1954,0
0,0,3,7,1954,0
0,0,4,7,1962,0
0,0,3,9,2010,0
0,0,3,8,1957,0
0,0,4,6,1991,0
0,0,3,8,2002,0
0,0,3,6,1943,0
0,0,3,6,1943,0
0,0,4,6,1930,0
0,0,4,7,1987,0
0,0,3,7,1973,0
0,0,3,4,1967,0
0,0,3,9,1965,0
0,0,4,7,1954,0
0,2,5,7,1907,0
0,0,4,7,1969,0
0,0,5,7,1955,0
0,0,3,7,2005,0
0,0,4,7,1954,0
0,0,3,7,1928,1954
0,2,3,9,2000,0
0,0,3,7,1992,0
0,0,4,9,1978,0
0,0,3,7,1994,0
0,0,3,8,2013,0
0,2,4,8,1966,0
0,0,3,7,1994,0
0,0,3,9,2002,0
0,0,3,10,1991,0
0,0,4,8,1989,0
0,0,3,7,1986,0
0,0,3,7,1993,0
0,0,5,7,1954,0
0,0,5,7,1954,0
0,0,3,9,2004,0
0,0,3,7,1994,0
0,0,3,10,2004,0
0,0,3,7,1940,0
0,0,3,7,1997,0
0,0,3,7,1960,0
0,0,3,7,1904,2014
0,0,1,6,1954,0
0,0,3,10,1986,0
0,0,3,7,2001,0
0,0,3,8,1968,0
0,2,3,11,1998,0
0,0,4,8,1969,0
0,0,4,7,1983,0
0,0,3,7,1979,0
0,0,3,8,1993,0
0,0,3,7,1954,0
0,0,3,7,1957,0
0,0,4,9,1979,0
0,0,3,8,2005,0
0,0,3,8,1953,0
0,1,4,10,1983,0
0,0,5,7,1950,0
0,0,4,7,1958,0
0,0,1,8,1962,0
0,0,3,7,1909,2011
0,0,4,7,1968,0
0,0,3,8,2008,0
0,0,4,7,1974,0
0,0,4,7,1937,0
0,0,3,8,1994,0
0,0,3,7,1994,0
0,0,3,9,2001,0
0,0,3,8,2001,0
0,0,3,7,1998,0
0,0,3,8,1995,0
0,4,4,10,1986,0
0,0,3,7,1991,0
0,0,3,5,2006,0
0,0,4,8,1978,0
0,0,3,9,1995,0
0,2,3,7,1920,0
0,0,4,7,1967,0
0,0,3,7,1964,0
0,0,5,7,1962,0
0,0,3,8,2012,0
0,0,3,12,1999,0
0,0,3,7,1941,0
0,0,5,7,1955,0
0,0,3,8,1988,0
0,0,4,8,1985,0
0,0,3,7,1909,0
0,0,5,7,1996,0
0,0,4,7,1947,1974
0,0,4,8,1976,0
0,0,3,7,1971,0
0,0,3,8,2005,0
0,0,3,9,1990,0
0,0,3,11,1987,0
0,0,5,8,1922,0
0,0,3,7,2005,0
0,0,3,8,2003,0
0,0,3,9,1976,2014
0,0,3,10,1983,0
0,0,3,10,1991,0
0,0,3,8,2000,0
0,2,3,8,1977,0
0,0,5,7,1954,0
0,0,3,7,1974,0
0,0,3,8,1953,0
0,0,4,6,1980,0
0,0,4,7,1960,0
0,0,3,7,1968,0
0,0,3,10,2005,0
0,0,3,7,1972,0
0,0,3,7,1975,0
0,0,5,8,1977,0
0,2,3,10,1977,1999
0,0,3,7,1965,0
0,0,4,6,1976,0
0,0,4,8,1983,0
0,0,4,8,1960,0
0,0,3,9,2001,0
0,0,3,8,1994,0
1,3,4,9,1980,0
0,2,5,9,1966,0
0,0,5,7,1986,0
0,0,3,10,2007,0
0,0,4,8,1989,0
0,0,3,7,1985,0
0,0,3,9,1988,0
0,0,3,6,1953,0
0,0,2,4,1912,0
0,0,3,7,1954,0
0,0,3,8,1997,0
0,0,4,7,1947,0
0,0,3,8,1993,0
0,0,3,6,1930,1983
0,0,3,10,2000,0
0,1,3,9,1928,2013
0,0,3,11,2000,0
0,0,3,9,2011,0
0,0,3,7,2003,0
0,2,3,9,2005,0
0,0,3,7,1949,0
0,0,3,5,1918,0
0,2,3,8,1975,0
0,0,3,7,1955,0
0,0,4,9,1990,0
0,0,4,8,1973,0
0,2,3,7,1950,0
0,0,3,9,1993,0
0,0,4,8,1978,0
0,0,3,11,1998,0
0,0,3,6,1917,0
0,0,3,9,2002,0
0,1,4,8,1977,0
0,0,4,7,1963,0
0,1,4,7,1987,0
0,0,5,7,1968,0
0,0,4,7,1960,0
0,0,3,7,1972,0
0,0,3,8,2004,0
0,0,3,9,1925,2003
0,2,4,7,1958,0
0,0,4,7,1900,0
0,0,3,7,2000,0
0,0,3,9,2003,0
0,0,3,7,1929,0
0,0,4,8,1966,0
0,0,3,10,1999,0
0,0,4,7,1963,0
0,0,3,7,1993,0
0,0,4,7,1924,0
0,0,4,7,1941,0
0,0,4,7,1946,0
0,0,3,10,2006,0
0,0,4,8,1981,0
0,0,3,8,2005,0
0,0,4,9,1990,0
0,0,3,7,1949,0
0,0,5,7,1951,0
0,0,4,7,1950,0
0,0,3,6,1932,0
0,0,3,9,2001,0
0,0,5,9,1916,0
0,0,3,10,2005,0
0,0,5,6,1958,0
0,0,3,6,1943,2005
0,0,3,8,2005,0
0,0,4,5,1930,0
0,0,3,6,1951,0
0,0,4,7,1952,0
0,0,3,7,2003,0
0,3,3,11,2001,0
0,0,3,6,1944,0
0,0,3,9,1984,0
0,0,3,7,1978,0
0,0,3,7,1978,0
0,0,3,10,1987,0
0,0,4,7,1962,0
0,0,4,6,1971,0
0,0,4,7,1985,0
0,0,3,7,1979,0
0,0,4,7,1900,0
0,0,3,7,1994,0
0,0,3,8,1999,0
1,4,4,12,1976,0
0,0,3,7,2003,0
0,0,4,8,1973,0
0,0,3,8,1967,0
0,0,4,8,1983,0
0,0,3,11,1988,0
0,0,4,10,1991,0
0,0,3,9,2008,0
0,0,4,7,1979,0
0,0,4,6,1943,0
0,2,4,7,1946,0
0,3,5,10,1952,0
0,0,3,7,1949,0
0,0,4,6,1943,0
0,0,5,7,1956,0
0,3,3,9,1999,0
0,1,3,11,1965,2003
0,0,3,7,1959,0
0,0,4,8,1973,0
0,0,3,7,1998,0
0,0,3,7,1978,0
0,0,4,8,1982,0
0,0,3,9,2014,0
0,0,3,10,1997,0
0,0,3,7,1960,0
0,0,3,7,2008,0
0,0,4,6,1959,0
0,0,5,7,1927,0
0,0,3,8,1907,0
0,0,4,6,1937,0
0,0,3,7,2003,0
0,0,3,10,2004,0
0,0,4,7,1927,0
0,0,5,8,1902,0
0,0,3,7,1981,0
0,0,4,7,1963,0
0,0,3,7,2009,0
0,2,3,9,2009,0
0,0,3,8,2004,0
0,0,4,6,1965,0
0,0,3,9,2005,0
0,0,4,7,1962,0
0,4,4,7,1941,0
0,0,3,7,1975,0
0,0,4,7,1981,0
0,0,3,7,1985,0
0,0,3,8,1903,2013
0,0,4,11,1978,0
0,0,4,8,1985,0
0,0,5,8,1931,0
0,0,3,7,1981,0
0,0,4,7,1966,0
0,0,3,8,2006,0
0,0,3,7,2006,0
0,0,3,7,1996,0
0,0,3,7,1997,0
0,0,3,8,2007,0
0,2,3,9,2004,0
0,0,3,9,1997,0
0,0,4,9,1962,0
0,0,3,8,2004,0
0,0,3,9,1984,0
0,0,3,7,1994,0
0,0,3,7,1980,0
0,0,3,7,1985,0
0,0,5,8,1966,0
0,0,3,8,2000,0
0,0,3,7,1949,0
0,0,3,7,1990,0
0,0,3,8,1996,0
0,0,3,7,1997,0
0,0,4,8,1925,0
0,0,4,8,1990,0
0,0,3,9,2005,0
0,0,4,7,1988,0
0,0,3,7,1967,0
0,0,3,7,1981,0
0,0,3,8,1988,0
0,0,3,7,1971,0
0,0,3,8,1983,0
0,0,3,7,1989,0
0,0,3,7,1976,0
0,0,4,7,1958,0
0,0,4,7,1927,0
0,0,4,6,1947,0
0,0,4,6,1944,0
0,0,3,9,2014,0
0,1,4,8,1941,0
0,0,3,7,1970,0
0,0,4,9,1983,0
0,0,5,6,1982,0
0,0,4,7,1914,1945
0,0,5,7,1968,0
0,3,3,8,1957,0
0,0,3,7,1910,0
0,0,3,7,1977,0
0,0,4,6,1953,0
0,0,5,7,1949,0
0,0,3,8,1993,0
0,0,5,9,1924,0
0,0,3,7,1963,0
0,0,3,7,1982,0
0,0,4,8,1978,0
0,1,3,9,2015,0
0,0,3,7,2003,0
0,0,3,7,1987,0
0,0,3,7,1916,0
0,0,3,7,1918,0
0,0,3,6,1939,0
0,0,3,6,1925,0
0,0,3,6,1944,0
0,0,4,8,1976,0
0,2,3,7,1952,0
0,0,4,7,1911,0
0,0,3,7,1999,0
0,2,3,10,1991,0
1,4,4,8,1957,0
0,0,3,6,1943,0
0,0,3,8,2001,0
0,0,4,7,1953,0
0,0,3,7,1986,0
0,0,3,7,1967,0
0,0,3,7,1969,0
0,0,3,7,2004,0
0,0,3,7,1976,0
0,0,3,7,1986,0
0,0,3,8,2007,0
0,0,3,8,2002,0
0,0,4,8,1959,0
0,0,5,9,1965,0
0,0,4,7,1949,0
0,0,4,7,1940,0
0,0,5,8,1978,0
0,3,4,8,1921,0
0,0,3,8,1968,0
0,0,3,7,1975,0
0,0,4,7,1925,0
0,0,3,6,1924,0
0,2,3,8,1969,0
0,0,3,11,2001,0
0,0,4,7,1981,0
0,0,3,8,1984,0
0,0,3,10,2006,0
0,0,4,7,1995,0
0,0,3,7,1930,0
0,0,3,9,2014,0
0,0,3,8,1990,0
0,0,3,7,2006,0
0,0,3,6,1946,0
0,0,3,7,1967,0
0,1,3,8,1958,0
0,0,5,10,1965,0
0,0,3,8,1983,0
0,0,3,6,1927,0
0,0,3,9,1992,0
0,0,3,7,1985,0
0,1,5,8,1979,0
0,0,3,7,1977,0
0,0,3,7,1979,0
0,0,3,8,1976,0
0,2,3,5,1905,0
0,0,3,6,1953,0
0,0,2,6,1950,0
0,0,3,7,1900,0
0,0,3,5,1928,0
0,2,4,6,1946,0
0,0,4,7,1984,0
0,3,3,8,1958,0
0,0,5,6,1967,0
0,2,4,9,1989,0
0,0,3,8,1993,0
0,0,4,7,1981,0
0,0,3,9,1990,0
0,0,4,7,1969,0
0,0,3,7,1961,0
0,0,5,7,1968,0
0,0,5,7,1954,0
0,0,3,7,1937,1990
0,0,3,7,1937,1990
0,0,3,7,1994,0
0,0,3,7,2002,0
0,0,5,7,1911,0
0,0,4,12,1988,0
0,0,3,8,2007,0
0,0,3,8,2004,0
0,0,5,7,1978,0
0,0,4,8,1978,0
0,0,3,7,1950,0
0,0,3,7,1983,0
0,0,3,11,1989,0
0,3,5,8,1976,0
0,0,3,7,1992,0
0,0,3,8,2012,0
0,0,4,8,1934,0
0,0,3,9,2012,0
0,0,4,8,1986,0
0,0,4,8,1951,0
0,0,4,8,1977,0
0,0,4,9,1937,0
0,0,3,7,1974,0
0,0,3,8,1997,0
0,0,3,6,1929,0
0,0,4,9,1995,0
0,0,3,7,1967,0
0,0,3,6,1925,0
0,0,3,8,2000,0
0,1,4,7,1963,0
0,0,3,7,2003,0
0,3,4,7,1940,0
0,0,3,7,1970,0
0,0,3,6,1952,0
0,4,5,8,1960,0
0,0,5,7,1944,0
0,0,3,8,2010,0
0,0,5,7,1911,1988
0,0,3,7,1979,0
0,2,4,9,1981,0
0,4,3,10,1991,0
0,0,4,9,1964,0
0,0,4,8,1918,0
0,0,3,8,1996,0
0,0,3,8,2008,0
0,0,3,7,1997,0
0,0,3,7,2005,0
0,0,5,7,1983,0
0,0,3,8,1984,0
0,0,4,8,1961,0
0,0,5,7,1984,0
0,0,5,8,1965,0
0,0,3,10,1995,0
0,0,3,8,1987,0
0,0,4,7,1961,0
0,0,3,7,1957,0
0,0,3,7,1912,2005
0,0,4,7,1955,0
0,0,4,8,1963,0
0,0,3,8,2002,0
0,0,3,7,1910,0
0,0,3,9,1998,0
0,1,5,10,1905,0
0,0,5,7,1967,0
0,0,5,6,1938,0
0,0,3,8,2009,0
0,0,4,7,1911,0
0,0,4,8,1966,0
0,0,4,8,1966,0
0,0,3,7,1964,0
0,0,4,7,1984,0
0,0,4,7,1969,0
0,0,4,7,1990,0
0,0,4,7,1980,0
0,0,3,9,1982,0
0,2,3,11,1999,0
0,0,3,6,1952,0
0,0,3,6,1950,0
0,0,3,7,1947,0
0,0,3,9,1993,0
0,0,5,8,1958,0
0,0,3,8,1999,0
0,0,4,12,1993,0
0,0,3,7,1913,0
0,3,5,9,1967,0
0,0,3,8,1987,0
0,0,3,9,2007,0
0,0,3,6,1954,0
0,0,3,8,1989,0
0,0,3,8,1989,0
0,0,5,8,1977,0
0,0,3,7,2004,0
0,0,3,8,1999,0
0,0,4,7,1964,0
0,0,3,8,2008,0
0,0,3,7,2004,0
0,0,3,9,1989,0
0,2,3,11,1999,0
0,0,3,8,2014,0
0,0,3,7,1988,0
0,0,4,6,1941,0
0,0,3,9,2005,0
0,0,3,7,1992,0
0,0,4,5,1932,0
0,0,3,8,2004,0
0,2,5,9,1931,0
0,0,4,7,1954,0
0,0,4,7,1954,0
0,0,3,6,1968,0
0,0,5,7,1926,0
0,0,3,6,1947,0
0,0,3,7,1959,0
0,0,3,8,1983,0
0,3,3,8,1941,0
0,0,4,8,1987,0
0,0,4,8,1975,0
0,2,3,7,1957,0
0,0,4,5,1939,1957
0,0,4,7,1977,0
0,0,3,8,2004,0
0,0,3,8,2004,0
0,2,4,8,1962,0
0,0,3,8,2002,0
0,0,3,7,1956,0
0,0,3,7,1987,0
0,0,4,7,1911,1977
0,0,3,8,1977,0
0,0,3,8,2008,0
0,0,4,8,1972,0
0,0,4,7,1912,0
0,0,3,9,1987,0
0,0,3,7,1977,0
0,0,4,7,1969,0
0,0,3,8,1994,0
0,0,4,7,1960,1981
0,0,3,8,2006,0
0,0,3,7,1949,0
0,0,3,8,1998,0
0,0,3,7,2005,0
0,0,3,7,1993,0
0,0,4,8,1979,0
0,3,5,8,1988,0
0,0,4,7,1977,0
0,0,3,5,1963,0
0,0,3,7,1951,0
0,0,3,8,1976,0
0,0,3,10,2010,0
0,0,3,8,1990,0
0,0,4,7,1989,0
0,0,3,7,2001,0
0,0,3,8,1996,0
0,0,4,7,1908,0
0,0,4,8,1977,0
0,0,3,7,1919,0
0,0,3,7,1962,0
0,2,5,8,1975,0
0,0,3,10,1984,0
0,0,3,10,1983,0
0,0,3,7,1959,0
0,0,3,7,1978,0
0,0,3,7,1954,0
0,0,3,6,1932,0
0,0,3,7,1941,0
0,0,2,6,1914,0
0,0,3,8,1969,0
0,0,5,7,1924,0
0,0,5,8,1908,0
0,0,3,7,1952,0
0,0,4,7,1928,0
0,0,3,7,2005,0
0,0,3,7,1976,0
0,0,4,8,1994,0
0,0,3,9,1995,0
0,0,3,8,1923,2014
0,0,3,8,2002,0
0,0,3,6,1954,0
0,0,3,7,2003,0
0,0,3,7,1962,0
0,0,4,9,1971,0
0,0,3,9,1993,0
0,0,4,8,1977,0
0,0,4,7,1988,0
0,0,3,9,1997,0
0,0,3,10,1993,0
0,1,3,9,2013,0
0,0,3,8,2007,0
0,0,4,7,1979,0
0,0,5,7,1942,0
0,0,3,7,1995,0
0,0,5,7,1960,0
0,0,5,7,1950,0
0,0,4,6,1917,0
0,0,4,7,1966,0
0,0,3,8,1975,0
0,0,3,7,1985,0
0,0,4,7,1955,0
0,0,3,8,1994,0
0,0,4,7,1946,0
0,0,3,8,2007,0
0,0,3,8,1999,0
0,0,3,6,1943,0
0,0,5,7,1962,0
0,0,3,7,1965,0
0,0,3,7,1990,0
0,0,4,7,1958,0
0,0,4,9,1972,0
0,2,3,7,1926,0
0,3,3,7,1967,0
0,0,4,7,1983,0
0,0,3,8,1920,1995
0,0,3,8,2009,0
0,0,3,7,1988,0
0,0,3,7,2005,0
0,0,3,7,1981,0
0,0,4,6,1972,0
0,0,3,7,1985,0
0,0,5,7,1925,0
0,3,4,9,1947,0
0,0,3,8,2004,0
0,0,4,6,1951,0
0,0,3,7,1994,0
0,0,3,7,1979,0
0,0,3,6,1900,0
0,0,4,6,1908,0
0,1,5,7,1915,0
0,0,3,9,2005,0
0,0,5,9,1910,0
0,0,4,7,1950,0
0,0,3,7,1977,0
0,0,3,9,1990,0
0,0,3,7,1977,0
0,0,3,10,1994,0
0,0,3,6,1929,0
0,0,3,8,1958,2002
0,0,3,7,1963,0
0,3,3,8,2000,0
0,0,3,10,1996,0
0,2,3,7,1916,1978
0,0,3,7,1920,0
0,0,4,7,1963,0
0,0,5,6,1944,0
0,0,3,7,1959,0
0,0,5,8,1917,0
0,0,3,7,1982,0
0,0,3,7,1910,0
0,0,5,6,1920,0
0,0,3,9,1993,0
0,1,3,7,1953,0
0,0,3,7,1966,0
0,0,3,8,1986,0
0,0,3,7,1983,0
0,0,4,8,1974,0
0,0,4,7,1909,0
0,0,4,7,1950,0
0,3,4,6,1961,0
0,0,3,8,1999,0
0,0,3,10,1996,0
0,0,3,9,2001,0
0,0,4,8,1969,0
0,0,4,7,1975,0
0,0,4,7,1956,0
0,0,4,7,1963,0
0,0,4,8,1977,0
0,0,4,9,1968,0
0,0,3,8,2010,0
0,0,3,7,1952,0
0,0,3,6,1942,0
0,0,3,7,2003,0
0,0,3,7,1992,0
0,0,3,6,1940,0
0,0,4,7,1951,0
0,0,3,8,1987,0
0,0,4,8,1960,0
0,0,4,8,1952,0
0,3,3,8,1955,0
0,0,3,7,1988,0
0,0,3,6,1953,0
0,0,4,7,1991,0
0,0,3,5,1920,0
0,0,3,7,1922,0
0,0,3,8,1981,0
0,0,3,8,1988,0
0,0,3,8,1908,0
0,0,3,7,1967,0
0,0,3,7,1977,0
0,0,3,8,2005,0
0,0,3,7,2012,0
0,0,4,7,1917,0
0,0,3,8,2001,0
0,0,3,9,1987,0
0,0,3,8,1996,0
0,0,4,6,1949,0
0,0,5,7,1926,0
0,0,4,7,1981,0
0,0,4,9,1957,0
0,0,4,8,1964,0
0,0,3,7,1922,0
0,0,3,7,1980,0
0,0,3,7,1977,0
0,0,3,8,1977,0
0,0,5,6,1942,0
0,0,3,8,2000,0
0,0,4,10,1993,0
0,0,4,7,1992,0
0,0,3,7,1962,0
0,0,4,7,1969,0
0,0,5,7,1960,0
0,0,4,7,1992,0
0,0,2,6,1906,0
0,0,4,7,1953,0
0,0,4,7,1990,0
0,0,3,8,1947,0
0,0,3,7,1945,0
0,3,4,10,2008,0
0,0,3,8,2003,0
0,0,5,6,1950,0
0,2,4,9,1981,0
0,3,3,10,1967,0
0,0,3,7,1962,0
0,0,3,7,1995,0
0,0,3,8,2003,0
0,0,3,8,1999,0
0,0,4,7,1949,0
0,0,4,7,1976,0
0,2,3,7,1920,0
0,0,3,6,1950,0
0,0,3,7,1977,0
0,0,3,7,1981,0
0,0,4,8,1977,0
0,0,4,7,1968,0
0,0,3,8,1972,2000
0,0,3,9,1936,0
0,0,3,6,1944,0
0,0,3,8,1994,0
0,0,3,10,1983,0
0,0,3,10,1992,0
0,0,4,7,1929,0
0,2,3,11,2008,0
0,0,4,7,1963,0
0,0,3,7,1952,0
0,0,3,8,1960,0
0,0,4,8,1974,0
0,0,4,7,1963,0
0,0,3,9,2014,0
0,3,4,9,1961,0
0,0,3,7,1969,0
0,0,3,7,1953,0
0,0,3,8,1912,0
0,0,4,4,1926,0
0,0,3,7,1954,0
0,2,3,7,1988,0
0,0,3,7,1962,0
