sqft_above,sqft_lot15,sqft_living15
1640,80100,2070
1670,4740,1510
3530,148539,2920
2350,13988,2600
1430,8640,1190
830,4960,830
1430,3750,1450
1300,8316,1260
790,3060,1390
2740,10377,2570
1830,18841,3120
720,2566,1150
2010,7650,2010
770,3000,1390
1240,7209,1750
3360,6567,3060
1510,36224,1730
800,6331,1620
1730,6458,1630
1420,6816,1420
1180,7620,1910
1200,10650,1550
1230,10098,1380
2460,5659,2990
1460,4400,1660
1270,8470,1600
1320,33450,2380
770,2580,1330
760,14267,1230
1700,7475,1950
1120,6350,1130
1070,4465,1320
1420,8250,2070
4750,20060,3890
5310,47443,4180
1040,7530,1440
1700,8164,1350
1300,7619,1320
580,2225,1440
2653,4927,2653
2290,10530,1660
2850,12136,1860
2210,49385,2670
1240,6000,2020
1610,11088,1720
860,8775,1650
2630,7556,3050
3500,7864,3920
1740,13300,2570
2720,8100,2410
1850,9750,2300
1140,7320,1670
1450,10300,2310
1140,13527,1520
1890,15256,2410
1780,9600,2120
2160,9937,2280
2270,11004,2320
1270,4166,2390
3360,11374,3150
1320,7316,1740
2650,7220,2400
1330,5592,2140
1090,9052,1630
2600,19508,4550
2440,7903,2510
970,7310,2190
2040,4590,2370
1120,10139,1460
960,4000,1740
1400,8275,1800
2180,9781,2250
1010,5000,1460
2220,8330,2720
1980,5750,2440
1660,78408,1660
3370,5400,2880
2690,11244,3860
2690,11244,3860
1350,7350,2150
1720,8162,1570
1930,57500,2350
1170,3864,1570
800,8775,1310
3150,8384,1560
2030,17958,2660
1450,9518,1520
1510,9753,1510
960,7460,1820
960,7460,1820
3030,35781,3080
2050,5500,2320
1000,7600,1150
1590,10004,2500
1890,6120,2370
2240,7955,1590
1810,10450,1910
1070,5000,1710
2490,9525,2770
1960,5894,1800
1860,11045,2580
1510,3750,1820
1420,8000,1740
1740,78408,880
2560,14764,2560
2420,8066,3470
1300,8691,1580
1275,20000,1660
2580,5823,2380
1000,7138,1020
1000,7138,1020
1070,32156,1360
1390,12080,1720
1250,8646,2040
560,19207,1300
2270,10180,2610
1300,14400,1940
790,3120,1930
1050,22654,1640
1100,5766,1600
1910,5091,2010
1750,10530,1750
1330,17689,1340
1980,5750,1520
1640,28399,1580
2760,11340,2470
1820,8168,1820
1340,9363,2040
1640,8800,2920
1840,44049,1380
2990,17449,2140
3520,21455,3400
1910,24361,2770
1370,7650,1810
1430,7220,1430
1100,6929,1810
1100,6929,1810
3450,9721,2860
1450,7625,1650
3230,7447,3480
1110,12600,1770
1060,7500,1680
2020,3120,1910
1300,2577,1590
1380,19868,3130
3030,14142,3360
2130,6930,2300
1580,8050,2420
3480,19009,4050
2510,9691,2450
1410,9600,1410
1160,7350,1710
2120,12000,1880
1380,10020,1610
1550,7620,1450
1980,2856,1950
1600,27743,1790
3300,12239,3180
3840,16553,3600
1220,9600,2000
1500,8800,2110
1940,10071,2000
1260,3500,1060
1530,8750,1390
1290,1543,1630
2150,16963,1880
940,4500,1560
1750,22357,2430
1820,7107,1820
1330,1352,1510
1290,3235,1290
1570,5250,1570
1930,6996,2090
2840,36852,3180
1550,8134,1550
833,143947,1380
2990,36497,2990
2000,8118,2450
2390,6867,2850
1530,18295,2520
1610,174240,2690
1290,8660,1910
1860,5465,2320
6070,211267,4680
950,4050,1320
1600,9800,1580
2250,11632,2360
2280,10094,2310
940,5120,1300
1030,8140,1850
2190,39480,1620
1770,15715,3530
1200,9660,1460
2200,5082,2310
2290,8250,2290
4040,21887,3930
1920,3277,1810
1490,2094,1490
2450,4674,2300
1440,9131,2140
3470,11398,3180
3130,9003,2860
1270,3090,1610
1540,11760,2460
1670,4910,2077
2070,7519,1890
1070,5406,2400
1250,210394,1930
940,8050,1150
1920,9760,1920
2610,7704,3630
1260,5460,1510
1300,7221,1930
1440,9450,2580
3260,13838,2610
1220,10007,1630
1400,10209,1230
1710,16117,2120
1870,10005,1900
2830,5788,2500
2260,3710,2350
1770,75396,2280
1770,9600,2460
1240,8223,1490
3450,8567,3220
2570,8049,2400
1510,3777,1570
2390,11250,2480
980,7000,1220
430,7500,1200
1480,6360,1480
1850,7329,2100
1920,14833,1770
1810,6200,1810
1610,12950,1310
3840,7709,3230
3130,8400,2820
3150,11919,4300
3390,7111,3390
1890,3000,1580
1080,4173,1610
850,5400,1770
630,6550,1420
1780,10988,2920
850,9000,1620
1950,7691,2350
2990,11553,2230
900,6012,1730
4860,181319,3850
1460,8250,2060
3860,11793,3600
890,5000,1860
2810,7302,2820
3400,11081,3080
960,7350,1560
1680,4921,1680
1300,10794,1300
2380,10392,1910
1070,6600,1660
870,1350,1240
1710,4420,1440
1610,12410,2424
1190,4025,1590
2120,4816,2530
3180,5335,3030
860,3825,1460
1930,12825,2200
2770,10000,2720
1670,10200,1930
1330,11682,1450
1210,3333,1640
1030,5100,1690
820,5538,1420
4030,7200,2160
1580,8750,1980
2600,7787,2830
4410,50529,2900
1330,660,1220
950,5000,1770
1100,7680,1460
1580,11811,1860
2400,8615,2080
3390,9323,2950
3180,178160,2200
1190,7560,1190
630,6840,1470
1520,4011,2290
1690,9040,1690
940,5000,940
1240,9121,1380
3040,6587,2740
6050,233971,4210
1590,7085,1320
2500,28837,2590
1320,7848,1680
1360,1898,1360
4740,49206,3340
1010,9660,1400
1040,7405,1580
1610,7529,1780
1570,8190,1870
1010,4000,1920
1360,6987,1360
1970,5109,2230
5403,104374,3980
1560,4350,1560
2270,9880,2120
2120,13492,2480
2120,14479,2120
3350,24728,3920
2380,9770,2560
720,928,1070
1560,9588,1870
1320,6490,1190
1140,8535,2180
3580,7680,3080
1790,10125,1520
750,8750,1340
1300,8692,1570
2990,29170,3715
2860,20697,3230
1400,7314,1310
2750,9563,2040
2050,8103,2050
1410,65340,1960
2340,107898,2340
2870,7995,1630
4120,7257,3180
1370,8944,1870
1840,4697,1600
1180,5350,1490
1530,4000,2040
1180,3400,1440
870,25346,1870
1830,5998,1830
3200,7944,3480
1760,5445,1080
2550,3840,1590
1040,9081,1330
1220,98010,2010
1805,3402,2095
4150,199504,2700
2320,5471,2450
1384,8470,1000
2720,7320,3180
1820,8976,1380
1530,4920,2130
2060,8155,2060
1080,7260,1500
1510,15744,1470
1960,5120,2160
3180,12835,3030
2110,14000,2470
1330,3900,1910
1010,165963,2450
1820,43560,2050
1610,3049,1610
1780,3802,2020
1840,8505,1830
990,12012,1220
1400,2385,1540
3370,9691,3330
3590,7995,2860
3200,15263,3070
1670,6254,2170
2420,32186,2560
1430,10816,1560
1440,7210,1440
1450,4490,1560
2100,9000,2050
1110,1800,1290
940,6930,1150
1300,7586,1660
2400,19400,2200
1100,1415,1200
1230,4050,1780
1930,5085,2190
2540,6344,2600
1280,7777,1500
1280,7515,1810
1490,10125,1290
1880,5411,2040
1250,9650,1390
1440,7245,1700
1920,7536,1930
1330,5750,1920
1210,10588,1408
940,5000,1530
990,6860,1440
820,6600,1200
1660,1784,1660
1330,9375,2760
990,4000,1920
3250,35982,3110
960,8610,1080
960,6000,1620
1600,7700,1680
2130,11782,2390
770,4080,1760
1070,7990,1200
1200,8316,1200
1360,8912,1220
2050,11590,2180
2000,5750,1820
800,5500,950
1340,7802,1540
1980,7920,2620
1530,1352,1510
2360,4744,2360
1150,8125,1760
1680,5100,1680
870,2750,1580
870,10608,1250
1260,7649,1170
1000,8640,1300
1550,38255,2520
1120,6900,2000
1380,6500,1940
1470,4400,1490
3180,9812,3000
2330,26324,2730
990,6000,1250
1970,3380,2180
1250,9185,1750
1140,15625,1150
1550,11400,2090
1640,6000,1880
1255,1232,1307
1290,11632,1390
1300,7369,1890
1220,1422,1220
2630,4000,1640
1950,12667,1940
2360,4000,2220
860,5600,1880
850,6380,1380
1630,11211,2390
1800,4620,2180
1200,18000,1800
1350,9579,2230
1010,7000,1150
1120,8056,1690
1200,5300,1850
4370,13641,4190
970,7187,1440
2580,213444,3440
3190,7323,3250
1750,5775,1620
1420,5413,1110
2990,6768,2870
2680,8231,2430
2730,6216,2730
1220,8322,1490
1500,13950,1820
1430,11964,2140
4570,13314,3180
2470,7986,2330
670,4343,1210
2900,34589,2900
1410,6222,1670
1610,21567,2670
1100,10369,2400
920,13475,1350
2240,11550,2300
1380,5000,1500
820,5304,1170
1730,12010,2180
1100,2048,1630
880,10000,1410
1060,4416,2240
1530,7490,1530
1460,10800,2910
1490,9100,1350
3260,38312,2700
2340,6818,1970
1450,12125,1210
2210,8799,2440
1130,7379,1540
1100,9823,1420
1010,8960,1770
1010,8108,1300
2660,8242,1120
2660,8242,1120
1300,9656,1430
1670,6924,2390
960,4080,1300
4670,41075,4230
1770,2708,2510
1550,8000,1700
1130,8856,1720
1440,3547,1320
1050,5900,1280
1130,7500,1590
4230,37034,3890
1370,9796,2460
1540,11439,1560
2090,6348,2280
2110,23900,2030
2156,3539,1708
2070,7700,2390
1270,6816,1500
1260,8048,2360
2290,6435,3090
1400,8547,2020
2210,16907,2210
1020,5441,1170
2100,54885,2290
1160,9650,1160
900,4000,950
2940,6600,2510
1300,5400,2180
2170,4395,2010
1250,6240,2210
1070,6630,1450
800,6908,1150
1140,7500,2510
1230,5520,1370
2380,6600,1870
770,3600,1390
1070,14960,2140
2030,9688,3270
2910,4500,3220
2400,10077,2580
2830,4000,1480
2440,33341,2560
1050,1316,1210
1400,218222,2230
2730,4924,2230
1610,7939,1920
2060,34500,2160
1290,9864,2360
1100,7799,1400
1470,6099,2180
2360,13125,2970
2640,8700,2240
1130,7356,1320
1940,8724,1940
1100,4000,1390
1200,9950,1370
1000,8250,2070
1730,7409,1910
1060,2874,1520
2710,6000,2520
3100,8557,3150
1250,23680,1450
970,7504,2030
1050,887,1180
2000,1452,1260
3610,10004,2560
1930,8000,2370
1280,5670,1540
2090,63162,2380
1140,9936,1410
1800,5952,1800
1400,8636,1830
2810,12672,3100
2260,10012,4100
1330,8588,1570
750,25792,1460
1090,3844,1180
3200,33171,2930
1740,7700,1850
2100,4700,2100
4270,36149,3510
1340,4590,2030
1680,8684,3160
1630,4779,1380
2990,13076,3150
1550,7740,1220
1690,5036,1800
1960,12230,1910
1360,10713,2140
2600,4904,2600
1950,7212,2330
1250,8800,1530
840,1963,1310
1680,4182,2160
2220,36906,3000
3090,16201,3470
2660,11876,1320
1150,2980,1150
1130,6600,1320
2760,5030,2870
1430,8919,1580
1490,101529,1580
2030,5500,2095
1890,5000,2688
1130,8100,1810
1130,8100,1810
970,5875,1290
1510,3150,1600
1300,6900,1240
1260,10350,1800
2610,18306,2550
1110,5580,1630
1780,8810,1780
1900,8000,2120
1340,10230,1850
1380,18503,1490
1230,9638,1980
1350,4479,1350
1350,4479,1350
1290,8000,1790
2470,5972,2100
960,9023,1340
940,5500,1020
1620,28826,2440
2300,47916,1760
2000,1548,1440
1640,11050,1870
1530,4080,1860
2190,8650,2530
1080,10374,1780
1450,7885,1630
1900,5790,2030
1050,27600,1610
1180,1718,1270
1750,33900,1840
2400,8050,2400
1790,5660,1950
1720,6587,1570
1800,10731,1920
1520,213444,2640
1150,7040,1330
380,15000,1170
910,6300,1520
1230,8958,1930
2480,3200,1980
2050,7920,2050
1420,7471,1560
3460,6312,2490
1500,4408,1730
1320,4120,1270
1220,7590,2050
1230,4160,1950
1220,7910,1600
1460,10988,2920
3300,11462,2820
3060,11455,3060
1530,8498,1380
1410,8750,2040
1020,8100,1020
1150,8100,1120
870,7000,1620
920,4822,1120
1800,8800,2060
1360,4000,1610
1430,4000,2100
2160,15732,4090
1780,3941,2100
1140,1116,1170
1330,8520,1460
1940,8333,2810
3000,32417,3000
1820,5400,1820
2910,5045,2740
1090,4992,1200
1020,1312,1260
1710,7700,1530
1780,11470,3260
2680,32130,2670
1840,10251,2190
1260,9946,1640
2340,14486,3680
2570,37891,3420
2560,9311,3230
950,1688,1360
1080,7348,1850
1250,6042,1180
1654,8479,1654
1410,8250,1630
1500,4996,2160
700,6000,1470
1420,8738,1660
1600,9750,2500
1410,9205,1410
1050,4000,1730
1750,7524,2050
1130,4400,1800
1260,1777,1000
1920,5000,1920
1000,5160,1100
2120,7700,1730
1440,7830,1390
1660,16275,1520
1340,8920,1340
1450,11491,2750
1000,3738,1430
1390,10506,2860
1220,6117,1860
1750,5220,1690
1080,1090,1370
1420,19811,2260
1320,2533,1320
1500,8580,2030
1250,15654,1920
1290,35160,1660
1720,5000,2090
1830,8250,2680
2790,4650,2820
1060,8291,1850
1310,5151,1710
1580,75358,1980
2020,3440,1290
970,4429,1490
1490,6526,1990
3350,8400,2010
1840,4250,1460
2150,10125,2150
1230,9594,1870
2230,10160,2260
2430,11560,1660
3680,11306,3600
1410,6750,1360
1330,7350,2600
1150,9800,1730
2020,3600,1920
3130,10470,2840
2670,5000,2300
1980,3245,1810
2100,17238,1930
1350,8451,2080
1190,7238,2140
2208,5000,1760
1010,9030,1650
970,3000,1670
1520,5407,1390
2740,33447,2740
1300,7660,1590
1320,9800,1320
1440,8223,2290
1250,7485,1540
2360,9337,2360
1210,4000,1500
1070,12000,1840
810,10202,2560
1710,3560,2120
2790,12603,3080
2620,5371,2590
1670,21803,2100
1050,7668,1360
1280,8800,1420
1030,8400,1270
1390,7800,1730
1740,9689,2550
1760,3076,1870
930,5400,1050
880,7695,1370
1310,1156,1365
1560,8560,2130
1120,7379,1460
1500,5366,980
1670,5276,1850
2060,9996,2260
1660,7208,1520
1190,10241,2580
1490,7795,1590
740,6975,1170
1860,6449,1860
1590,6000,1310
850,3000,1300
1030,3376,1450
1850,9550,2250
1830,4590,1650
1560,8750,1610
1230,9800,1840
1930,7266,1930
1422,3677,1677
1380,5000,1350
2430,4798,2500
2610,7773,2610
2000,217800,2220
490,5000,1500
1050,5500,1640
1180,8008,2140
2460,44431,2830
1780,7920,1810
1080,4500,2230
1250,6320,1490
1870,7700,1970
1230,7842,1800
1480,11000,1530
1930,6168,1930
3130,21810,3330
1370,6200,1370
960,8035,1650
1260,7326,1330
1480,5320,1140
1930,7525,1930
870,4440,1190
1300,8400,1330
1490,6861,1880
1030,5347,1380
1190,1567,1190
2870,8841,3640
1920,5200,1670
2080,11200,1690
2690,44374,3460
2060,5000,3140
1270,7800,1950
1480,2190,1360
2000,6339,2430
1560,5461,2170
1390,6798,1502
1140,10500,2200
770,4200,1420
820,15375,1660
1230,7704,1780
1560,220654,2320
1270,8862,2030
2040,94960,1850
1920,8866,2260
1230,6000,2300
890,4250,1440
2450,6500,1750
3440,35021,3440
2380,9677,2730
1460,4880,1250
5670,83729,4100
1140,10412,1140
1270,6125,1460
1280,8010,1860
1560,9985,2200
1500,8645,1220
4475,6633,3720
1640,10070,2790
1020,11640,1750
1410,7214,1910
1520,3600,1880
730,7969,1790
990,6434,1760
1410,8909,2050
1240,25545,3050
1300,8568,2090
1050,6384,1380
1480,8650,2940
1340,10070,2560
860,4187,1060
1310,8547,1160
1090,7426,1470
730,5250,990
1510,5596,1840
1040,6100,1140
1810,8677,1740
1150,11852,2440
2360,11254,2390
1420,4000,1940
2690,27100,2820
1040,4080,1340
1040,4080,1340
1370,9075,1400
3410,10128,2260
1850,11700,2110
3010,9456,2890
1530,3064,1560
1420,17539,2600
1490,6825,2240
1240,7560,1460
1560,3152,1600
1010,9611,1200
600,2802,2120
990,1380,1050
720,4785,860
6070,13404,4750
2270,2400,1320
1140,2036,1580
840,8496,1140
2910,36728,2720
1810,10800,1490
3160,8281,3000
1910,1879,1910
1230,6026,1525
2960,5361,2960
2200,10002,2200
1270,10200,1270
2540,9383,2410
3030,7632,2360
1520,8580,1760
1560,7800,1160
970,4560,1500
3570,7882,3160
860,7740,1130
2290,4276,1720
1430,7938,1550
940,8573,1100
4300,12250,3950
3990,13709,5790
1380,4000,1690
1010,7865,1650
780,5040,760
1190,12632,1730
1560,6300,1380
1560,6300,1380
1500,6337,1500
1760,8250,2040
1020,8865,1820
2430,12369,3090
1560,4400,1660
1690,8031,1850
990,4100,1800
1020,8500,1420
1310,2550,1310
2570,9898,2490
1010,6842,1250
840,1260,1380
1770,7700,1710
3190,8416,2850
1440,20037,1530
1150,6360,1980
1860,3739,1840
2430,7474,2260
1940,4000,1440
880,3060,1370
1330,12852,1470
1560,13868,2630
1830,7017,1860
3230,40234,2990
700,4500,1560
1010,8580,1500
1410,10061,2300
2230,6137,2230
1570,2582,1610
2390,6600,1140
3020,8680,3030
1640,7350,1940
2940,7500,2010
5990,26788,3430
1570,8639,1860
1180,8000,2080
1070,6532,1190
440,26289,880
1220,9600,1370
1800,3825,1510
4460,88519,3470
2010,3600,2350
1450,3748,1970
1400,10796,1810
1500,5000,1550
2500,7642,2790
1000,6835,1550
2420,7500,1920
2210,26140,2420
3060,6218,3240
1330,34787,1710
3300,213879,2880
2500,6000,1650
1570,9400,3030
1830,10667,1840
1170,8481,2080
1680,61011,2234
1230,7560,1270
1620,2943,1900
1160,6225,1790
1440,8466,1440
1050,8100,960
1270,3600,1710
880,3000,890
1370,7800,2360
1140,4000,1630
1150,7500,1200
770,8149,1160
2500,41056,3050
1850,5000,2210
1290,8400,2110
700,4000,2180
700,4000,2180
960,9769,1250
1160,7458,2020
1260,1324,1340
970,4640,1730
1240,7834,3210
1890,14373,1830
920,5184,1680
4190,6727,2480
870,4400,1240
1600,3225,1520
1800,13158,2490
2090,6396,2090
2320,4539,2620
3150,7800,3890
770,17334,1480
1410,18615,1550
2660,10653,2780
1190,7210,2070
1110,8400,1440
2280,6443,2370
2050,4635,1390
800,9110,1340
1200,11935,1350
1710,7200,1710
2400,6360,1720
2800,6977,2800
1640,6789,1640
1210,6365,1910
2530,7205,2330
990,7420,1010
790,11871,1930
790,11871,1930
1470,7483,1440
1650,12600,2830
1980,24640,2300
1310,6350,2020
2790,6453,2450
1400,7333,2150
1840,40089,2550
1350,93825,2220
3030,4922,1080
1980,8500,1400
3690,13609,3600
2932,4000,2950
1510,5912,1510
1110,5000,1750
1060,9165,1680
1270,7520,1780
1420,7964,1360
1690,10165,2440
1330,8400,2090
1940,310582,2460
1120,1087,1120
1540,7330,1790
1720,4000,1960
1720,7700,2360
2150,37981,2450
3720,18512,2460
2010,10168,2190
1870,5150,1550
1770,23400,2670
1690,5080,2120
2060,8745,2060
1240,1355,1410
2200,7240,2250
980,3840,1400
1780,9145,2420
1530,8600,1920
4250,12821,2830
2400,98010,2800
1770,6000,2030
800,1161,1150
2350,14400,2880
2630,7220,2305
1610,4000,1670
1700,4105,1970
2470,5064,2470
1250,18200,1410
3110,12433,3110
1530,8856,2040
960,6250,1350
1240,19350,2060
2440,9250,2280
1620,9720,1990
1200,7241,1710
2963,6119,2665
2230,10150,1970
1370,10176,1650
960,28717,1860
880,5250,2190
4930,23035,3620
800,5120,1220
2190,7350,1880
930,4080,1320
1300,10401,1860
1200,9680,1680
980,6000,1680
1680,8147,1290
1900,7194,1690
1570,9100,1570
1150,47044,1460
1350,4225,1660
3010,11532,2560
1010,8128,1380
2050,7264,2050
1170,4080,1560
3840,12133,3270
1200,9709,1300
1640,10970,2710
1180,11730,1460
2950,4750,2120
5000,24619,4320
2150,38307,2650
2100,9102,1280
1100,8073,1280
1430,1572,1750
1750,14120,1550
1380,8187,1420
1210,9076,2080
1600,8000,1710
1840,65340,1890
830,7590,980
1440,3600,1480
910,7528,1260
2120,3600,2090
2510,69696,2510
1600,8661,2100
1870,15000,2690
1590,9600,2430
2452,4800,1180
1550,6000,2360
2080,5606,1530
1290,5850,2020
1850,1795,1500
3370,5237,3370
2730,8015,2390
1300,7344,1520
3040,9327,2860
1480,4000,1770
1320,8000,1930
2000,1626,1509
1030,2120,1230
2350,14640,3050
3100,5600,3080
1400,8580,1890
1250,4676,1140
2160,2283,1720
1070,36626,1890
2270,100545,1277
1150,7420,1780
920,5225,1470
1680,6300,1550
2270,8391,2420
2820,8307,2820
1200,9113,1350
1120,7150,2140
1560,6000,2000
2860,14200,3140
2330,11448,2050
3110,11941,2720
1440,11250,2200
1340,9752,1500
790,3225,1500
1981,5894,1981
2440,8484,2820
1150,8155,1480
1120,6875,1270
1000,5350,1680
2380,48000,2030
2140,1544,1620
2790,12600,2720
910,8152,1200
1550,34929,1520
970,11475,1560
640,6350,1270
2040,8000,1530
1860,4661,1850
1010,7469,1490
2470,5583,2790
1740,8858,2240
780,5000,1570
1510,9669,2210
2120,11524,2290
1770,14400,1900
2495,4400,2434
880,24513,1130
2740,7035,2260
850,5243,1850
1130,6300,860
880,6380,1340
2403,6075,2380
3410,37263,2580
5320,17268,4640
950,8360,1480
1810,29680,2700
1200,5580,1440
2060,6406,2242
1250,10175,1980
910,6050,890
2560,35395,3040
1200,8800,2250
2240,8500,2340
1260,3344,1310
1360,10538,1900
2100,7700,2190
1460,4732,1390
1560,8976,2210
2360,11665,2480
1280,8211,1420
1640,6000,1940
2740,7203,2880
1830,6825,1430
1650,6000,1870
1770,10476,2410
1050,5060,1500
1130,8196,1490
3190,13496,2290
1280,9453,1300
2140,6820,1980
2020,8025,3160
920,7956,1500
2730,7220,2750
1320,33600,1320
2620,4231,2360
3180,38715,3180
2900,5173,2900
1900,8400,2110
1160,5400,1640
760,4500,1640
2760,20000,3970
1530,4944,1500
1870,12400,1710
2130,36150,2750
1120,4958,2120
2170,9000,1980
1090,7191,1380
2310,17559,2830
1070,9760,1580
1760,1266,1320
1510,10650,2010
2830,36342,3200
1200,8650,1330
2090,5735,2520
1210,7400,1480
6720,21750,4600
870,5200,840
1010,7313,1610
1010,7313,1610
1160,7527,1490
1330,5485,1150
1760,12068,2080
1800,6589,1760
990,4005,1200
660,5445,1560
1250,4800,1540
3020,10204,2480
1500,2555,1820
960,4800,1560
1090,10620,1380
970,4284,2050
3190,5198,2950
3190,5198,2950
1890,6072,1510
1050,7500,1380
1140,7702,1630
850,5100,1480
1050,8880,1220
2120,12955,3290
1540,9688,1390
1560,3001,1240
2100,7464,2100
1730,8400,2080
1500,2418,1470
2380,6066,2670
2180,7684,2214
1840,5040,1830
2341,9421,2850
1690,3164,1600
2490,21937,2450
2440,15283,2440
920,54705,1162
1030,8121,1480
1260,6514,1960
4210,8880,3950
1080,9964,1610
1430,36680,2340
2660,5539,2380
820,5750,1410
1730,10027,2180
2360,7490,2360
970,7000,1250
2460,4895,2900
2690,8066,2570
1430,1460,1550
2370,4761,2420
2110,7634,2460
1010,8400,1440
1340,7630,1650
2000,8270,1240
2460,6765,2170
3890,22641,3160
1220,7700,1160
1250,4000,1910
1940,7684,2140
2520,8359,2570
3060,5668,3060
2390,7916,2600
1320,7210,2020
1650,8869,2340
700,5617,1020
2210,8902,2430
2180,8581,2300
1550,2275,2080
1490,21132,2910
960,5525,1760
2460,40635,2250
1470,15370,1760
1650,2400,1500
1690,8100,2090
970,11805,1280
1130,8000,1940
2540,20301,2790
1200,7230,1700
1720,9316,2240
1420,8712,2490
3260,5608,3010
3830,56568,5600
1530,5381,2040
1410,1760,1690
1780,2067,2320
1380,8650,2170
3280,6368,3820
2980,7140,1670
1490,9000,2190
2110,9900,1650
5153,22651,2610
1510,7276,1560
1590,8430,1670
830,3056,1660
1300,10318,3540
1110,9106,2220
1730,7920,1550
1990,19210,2400
1210,7416,1540
1100,7200,1390
820,2342,1420
2590,6800,2550
1450,7701,1910
1180,7793,1720
1220,7650,1840
2360,11362,2850
1120,7302,1340
1646,9161,1975
4210,13591,3950
1620,14100,1260
1310,7200,2080
1650,2719,1330
1650,7350,1560
2250,62829,1860
1700,4000,2180
1040,5625,1320
3720,35000,3720
1100,8470,1120
1530,8125,1480
3010,5176,2890
3500,7833,3510
3100,5250,2460
1170,7531,1940
1510,8109,1900
1510,9964,2030
1850,6367,2400
