sqft_above,sqft_lot15,sqft_living15,waterfront,view,condition,grade,bedrooms,sqft_basement_cat,floors,yr_built_cat,zip,price,year_bin
1510,3264,1590,0,0,3,8,3,3,1.5,1,1,696000,2
930,11467,2160,0,0,1,5,4,3,1.0,1,0,550000,2
2360,4700,1730,0,0,4,8,4,1,2.0,1,1,640000,0
890,7800,1290,0,0,2,7,4,2,1.0,1,0,240000,6
2620,11884,2620,0,0,3,8,4,1,2.0,2,0,605000,8
2570,5669,2470,0,0,3,9,4,1,2.0,2,0,625000,9
2600,30617,2410,0,0,3,8,4,4,1.0,1,1,775000,7
3595,5639,3625,0,0,3,9,5,1,2.0,3,0,861990,10
1570,2640,1580,0,0,3,7,3,1,2.0,1,1,685000,1
920,8808,1340,0,0,4,6,3,2,1.0,1,0,309000,5
3160,9232,3050,0,0,3,8,3,1,2.0,2,0,488000,9
990,8840,1228,0,0,3,6,3,1,1.0,1,0,210490,5
2290,13685,2680,0,0,4,9,4,1,2.0,1,0,785000,7
1250,5100,970,0,0,4,7,3,1,1.0,1,1,450000,4
2165,72513,2680,1,2,5,9,3,3,1.0,1,0,1350000,4
1190,9364,1190,0,0,3,7,3,1,1.0,1,1,228000,4
1640,9133,1990,0,0,4,8,5,4,1.0,1,0,345000,5
1000,4080,1410,0,0,4,7,3,2,1.0,1,1,600000,4
990,6738,1480,0,0,3,7,2,3,1.0,1,1,585000,7
2130,6000,2730,0,0,3,8,5,3,1.5,1,1,920000,2
2830,5000,1950,0,0,3,9,4,1,2.0,2,1,885000,8
2250,4500,2250,0,0,3,7,4,1,2.0,2,0,292500,9
2420,4750,2690,0,0,3,8,3,1,2.0,2,0,301000,9
3250,11044,2960,0,4,4,8,5,1,2.0,1,0,951000,6
1850,8542,2270,0,0,3,8,4,1,2.0,1,0,430000,8
1590,18900,2570,0,3,4,8,3,3,1.0,1,1,650000,5
1260,8750,1290,0,0,3,7,3,1,1.0,1,1,289000,4
2519,9500,2500,0,0,5,8,3,1,2.0,1,1,505000,6
1540,3090,1580,0,0,3,8,3,1,3.0,3,1,549000,10
1110,4080,1440,0,0,3,7,3,3,1.0,1,1,425000,7
1770,4000,1440,0,0,5,7,3,4,1.5,1,1,317625,2
2720,11049,2750,0,0,3,10,4,1,2.0,1,0,975000,8
2240,4557,2221,0,0,3,7,4,1,2.0,2,0,287000,9
1000,12635,1010,0,0,4,7,3,1,1.0,1,0,204000,6
1600,20158,3390,0,0,3,8,5,4,1.0,1,0,1330000,5
3070,38917,3530,0,0,4,11,5,4,1.0,1,0,1040000,6
1260,4745,1640,0,0,4,7,3,1,1.0,1,0,325000,6
2250,7807,1510,0,0,5,7,4,3,1.5,1,1,571000,1
2380,5000,2420,0,0,3,8,4,1,2.0,2,0,360000,9
1090,50529,1940,0,0,5,7,3,3,1.0,1,0,349000,5
2390,35020,3240,0,0,4,10,4,4,2.0,1,0,832500,7
880,7500,1680,0,0,3,7,4,3,1.0,1,0,380000,5
1040,5060,890,0,0,3,7,3,1,1.0,1,1,480000,3
910,5693,1130,0,0,4,7,3,3,1.0,1,1,410000,5
3450,39750,3350,0,0,3,10,4,1,2.0,2,0,720000,9
2350,5363,2350,0,0,3,8,3,1,2.0,2,0,390000,9
1900,6405,1870,0,0,3,7,4,1,2.0,1,0,360000,8
1010,6720,1720,0,0,3,7,2,4,1.0,1,1,355000,4
1680,8797,1850,0,0,3,8,3,1,1.0,1,0,356000,5
960,7203,1570,0,0,3,6,3,1,1.0,1,1,315000,4
1900,4800,2020,0,0,3,9,3,2,2.0,1,1,940000,2
2660,8165,1590,0,0,5,7,5,1,1.5,1,0,305000,5
1980,7349,1900,0,0,3,9,3,3,2.0,2,0,461000,9
1610,2025,1950,0,0,4,7,2,1,2.0,1,0,215000,7
765,1106,1030,0,0,3,7,2,2,2.0,2,1,335000,9
1980,7510,1980,0,0,3,7,4,1,2.0,1,0,243500,7
3520,6250,2520,0,0,4,10,5,1,2.0,2,1,1100000,9
1200,10500,1350,0,0,3,7,3,1,1.0,1,0,153000,5
1290,4500,1570,0,0,3,8,3,2,1.0,1,1,430000,3
1290,4500,1570,0,0,3,8,3,2,1.0,1,1,700000,3
2390,6045,1950,0,0,3,7,4,3,1.0,1,0,905000,4
1960,15616,1750,0,0,3,7,3,1,1.0,1,0,247500,6
1160,6400,1160,0,0,4,7,4,1,1.0,1,0,199000,6
1210,135036,1650,0,0,5,7,3,3,1.0,1,0,314000,7
2320,35065,2550,0,2,3,9,3,1,2.0,1,0,437500,8
1270,4500,2200,0,0,5,9,3,3,1.5,1,1,850830,0
1440,3478,1610,0,0,4,7,3,3,1.5,1,1,555000,2
2190,47777,2570,0,0,4,8,3,1,2.0,1,0,699950,7
2920,8113,2370,0,0,3,8,3,1,2.0,1,0,1090000,4
1210,14910,1640,0,0,3,7,3,1,1.0,1,0,290000,4
1460,8162,2250,0,0,4,8,3,3,1.0,1,0,375000,7
1170,4005,1240,0,0,4,7,3,3,1.5,1,1,460000,3
1240,4966,1270,0,0,4,8,2,1,1.0,1,1,188500,7
3140,35001,2990,0,0,4,10,4,1,2.0,1,0,680000,8
2030,9433,2500,0,0,4,7,5,1,2.0,1,0,470000,3
2310,9636,1940,0,0,3,8,4,1,2.0,1,0,597750,7
700,3536,1380,0,0,5,6,3,3,1.0,1,1,570000,0
1160,11656,1540,0,0,4,7,3,2,1.0,1,0,272500,7
1080,5500,2090,0,2,3,7,3,4,1.0,1,1,329950,6
2520,8517,2640,0,3,3,9,4,3,2.0,2,0,480000,9
2780,6350,1830,0,0,3,8,3,4,2.0,1,1,740500,0
1590,3166,1620,0,0,3,8,3,1,3.0,2,1,518500,9
880,6780,1190,0,0,4,6,2,1,1.0,1,1,205425,4
1570,9000,1880,0,0,3,6,4,1,1.0,1,1,171800,4
1610,4040,1610,0,0,4,7,4,1,1.5,1,1,535000,2
1560,10856,2340,0,2,3,8,3,3,1.0,1,1,660000,5
1450,9104,1580,0,0,3,7,3,1,1.0,1,0,391500,7
770,6000,1710,0,0,3,6,2,1,1.0,1,1,395000,4
1720,4400,1850,0,0,5,7,4,2,1.5,1,1,445000,2
2910,13992,2700,0,0,3,9,3,1,2.0,1,0,770000,8
1980,11275,3060,0,0,3,8,4,3,1.5,1,0,1450000,1
1620,8712,2660,0,2,3,8,3,2,1.0,1,1,445000,6
1360,8400,2090,0,0,3,8,4,3,1.0,1,0,260000,7
1720,4960,1700,0,0,5,7,5,3,2.0,1,1,822500,2
2070,3748,1970,0,0,3,7,4,1,2.0,2,0,430000,9
1060,7680,1420,0,0,4,7,3,1,1.0,1,0,212000,7
1440,9793,2060,0,0,3,8,4,3,1.0,1,0,660500,7
2460,88500,2480,0,0,3,9,3,4,1.5,1,0,784000,8
1390,1662,1690,0,0,3,8,3,3,2.0,3,0,453246,10
2140,2285,1540,0,0,3,9,4,1,3.0,2,1,675000,9
1320,19265,1550,0,0,4,7,3,1,1.0,1,0,199000,5
1010,8140,1750,0,0,3,7,4,4,1.0,1,0,220000,6
1340,10436,1550,0,0,4,8,4,4,1.0,1,0,452000,6
1190,5715,1060,0,0,3,6,2,1,1.0,1,1,382500,7
1170,1310,1350,0,0,3,8,3,1,3.0,3,1,519950,10
1110,3600,1170,0,0,3,7,2,1,1.0,1,1,665000,2
1550,9375,2820,0,0,4,8,5,4,1.0,1,0,527700,6
1010,8579,1610,0,0,4,7,3,3,1.0,1,0,205000,5
940,7940,1560,0,0,4,7,3,2,1.0,1,1,420000,2
1380,8824,2230,0,0,4,8,4,3,1.0,1,0,500000,5
3670,87991,2840,0,0,4,9,4,1,2.0,1,0,921500,8
2370,4000,2200,0,0,3,8,4,2,2.0,1,1,890000,0
2420,193842,1940,0,0,3,7,2,1,2.0,2,0,430000,9
1130,18000,1360,0,0,4,8,5,4,1.0,1,0,258000,5
980,4599,1450,0,0,3,7,3,2,1.0,1,1,511000,4
1360,3090,1500,0,0,3,8,3,1,2.0,1,1,532170,8
1110,5000,1420,0,0,3,7,3,1,1.5,1,1,560000,4
1250,8633,1680,0,0,4,7,3,1,1.0,1,0,282950,4
3540,9750,3160,0,3,3,12,4,4,2.0,2,0,2250000,9
700,5100,1010,0,0,3,7,1,1,1.0,1,1,350000,3
1180,7669,1190,0,0,4,7,3,1,1.0,1,0,215000,6
2500,13675,2640,0,0,3,9,5,4,2.0,2,0,650000,8
1620,7875,1980,0,0,3,8,4,4,1.0,1,0,320000,6
1270,7198,1160,0,0,3,7,3,1,1.5,1,0,247000,1
1760,11180,1730,0,0,4,8,4,1,1.0,1,0,320000,6
1030,11680,1010,0,0,3,7,5,4,1.0,1,1,255000,5
1780,9660,1200,0,0,3,7,3,1,1.0,1,0,438000,5
3400,12601,3400,0,0,3,10,3,1,2.0,2,0,900000,9
1160,8152,1710,0,0,3,7,3,3,1.0,1,0,441000,7
1010,36590,2110,0,0,4,7,3,4,1.0,1,0,420000,6
1180,7500,1640,0,0,3,7,3,2,1.0,1,0,370000,6
700,9750,1830,0,0,5,5,2,3,1.0,1,1,269950,4
2680,4500,2920,0,0,3,9,4,1,2.0,2,0,807100,8
1610,8750,2480,0,0,4,8,3,4,1.0,1,0,653000,7
1370,7288,1770,0,0,5,7,3,1,1.0,1,1,371500,5
1560,7920,1070,0,0,3,7,3,1,1.0,1,1,284000,4
1670,7350,1930,0,0,4,7,3,2,1.0,1,0,272000,7
1340,7940,1480,0,0,3,7,3,1,1.5,1,1,313000,4
2570,35230,3740,0,0,3,10,4,4,2.0,1,0,917500,7
2590,8335,2260,0,0,4,8,4,1,2.0,1,0,673000,7
820,1795,1590,0,0,3,8,3,2,2.0,2,1,425000,9
1320,2150,1280,0,0,3,7,5,3,1.0,1,1,399950,7
1220,4800,1200,0,0,3,6,3,1,1.0,1,1,385000,0
1320,8941,1950,0,2,4,7,3,3,1.0,1,0,269950,6
1060,8280,1540,0,0,3,7,2,2,1.0,1,1,330000,4
1670,6183,1670,0,0,3,7,3,1,2.0,1,0,260000,7
1680,5375,1410,0,0,4,7,4,3,1.5,1,1,470000,2
2440,9600,2290,0,0,5,7,4,1,2.0,1,0,589000,5
1050,3417,1050,0,0,3,7,2,1,2.0,2,0,163500,8
2140,9984,2260,0,0,3,9,4,3,2.0,1,0,835000,8
2090,10270,2540,0,2,4,10,5,4,1.0,1,0,1100000,7
1100,8910,2190,0,0,4,8,4,2,1.0,1,0,269000,6
1900,8744,2030,0,0,3,8,3,1,2.0,1,0,560000,7
1330,4400,1330,0,0,4,6,4,1,1.5,1,1,615000,0
1430,9340,2230,0,0,3,8,3,3,1.0,1,0,585188,6
1220,8400,1540,0,0,3,7,3,2,1.0,1,0,305000,6
1190,7980,1230,0,0,3,6,3,1,1.0,1,0,166950,5
2140,10083,2680,0,0,4,8,3,1,1.0,1,0,799000,5
1420,7818,1900,0,0,4,7,3,3,1.0,1,1,400000,5
1060,10228,1570,0,0,3,7,3,1,1.0,1,1,230000,4
1690,5001,2550,0,0,3,8,3,1,2.0,2,0,256883,9
1130,6480,1500,0,0,5,7,4,3,1.5,1,1,423000,1
2150,2385,1750,0,0,3,8,3,1,2.0,2,1,465000,9
1910,67268,2330,0,0,3,7,3,1,2.0,2,0,440000,8
1350,50965,1560,0,0,4,7,3,1,1.0,1,0,385000,6
860,9514,1300,0,0,4,6,3,1,1.0,1,0,210000,3
1940,10450,2030,0,0,3,8,3,1,2.0,1,0,297000,8
1010,5000,1680,0,0,3,7,3,1,1.0,1,1,470000,4
900,7500,1430,0,0,4,7,3,2,1.0,1,0,226500,6
910,8040,1400,0,0,4,6,3,1,1.0,1,0,274250,5
1630,10744,2770,0,0,4,9,4,3,1.0,1,0,840000,5
2440,4587,2750,0,0,3,8,3,1,2.0,2,0,677900,9
1010,5000,1290,0,0,3,7,3,1,1.0,1,1,425000,1
900,14280,1250,0,0,3,6,2,1,1.0,1,1,180250,3
1600,1312,1560,0,0,3,7,6,3,2.0,1,1,464000,1
1550,6397,1630,0,0,3,8,4,1,2.0,1,0,320000,8
1060,1327,1160,0,0,3,8,3,2,2.0,3,1,625504,10
2240,12368,2520,0,0,3,9,4,1,1.0,1,0,592500,7
2714,18386,2590,0,0,3,9,3,1,2.0,2,0,465000,9
1720,8700,2130,0,0,3,8,4,1,2.0,1,1,477000,7
850,14459,1100,0,0,3,6,2,1,1.0,1,1,280000,2
1870,20953,3836,0,3,3,9,5,4,1.0,1,0,1510000,5
2250,5390,1320,0,0,3,8,3,1,2.0,2,1,445838,9
1950,5184,2580,0,3,3,8,2,4,1.0,1,1,1070000,4
1320,12040,2120,0,0,4,8,2,1,1.0,1,1,467000,4
2760,8127,3070,0,0,3,10,4,1,2.0,2,0,686000,8
1350,10125,1900,0,0,3,7,3,2,1.0,1,1,279950,5
2330,10055,1910,0,0,3,8,4,1,2.0,1,0,527000,7
1780,9583,2080,0,0,4,8,3,2,1.0,1,0,325000,5
2020,8031,2020,0,0,3,7,3,1,2.0,1,0,328000,8
1250,7392,1280,0,0,5,7,3,1,1.0,1,1,390000,3
1510,6009,1640,0,0,3,8,2,1,1.0,2,0,479950,9
1120,9753,1510,0,0,4,7,4,3,1.0,1,0,264950,7
980,13068,1960,0,0,4,7,3,2,1.0,1,0,235000,5
1480,4729,2250,0,0,3,7,3,1,2.0,2,0,516500,9
1230,13193,2030,1,4,3,7,2,2,2.0,1,1,655000,1
2280,15347,2280,0,0,5,7,4,1,1.0,1,0,500000,5
1780,8236,2120,0,0,3,8,6,4,1.0,1,0,315000,7
1000,13702,1150,0,0,3,6,2,1,1.0,1,0,213000,5
1620,4800,2090,0,0,5,7,3,3,1.5,1,1,475000,4
3760,35096,3430,0,0,3,10,5,1,2.0,1,0,1030000,7
1640,80100,2070,0,0,5,7,3,3,1.0,1,0,416000,6
1670,4740,1510,0,0,3,7,4,2,1.5,1,1,410000,0
3530,148539,2920,0,0,3,10,3,2,2.0,1,0,800000,8
2350,13988,2600,0,2,4,9,6,4,1.0,1,0,472000,5
1430,8640,1190,0,0,4,7,3,1,1.0,1,0,225000,6
830,4960,830,0,0,3,6,2,1,1.0,1,1,210000,3
1430,3750,1450,0,0,2,7,2,1,1.5,1,1,455000,2
1300,8316,1260,0,0,4,6,3,1,1.0,1,0,225000,4
790,3060,1390,0,2,4,7,2,2,1.0,1,1,480000,1
2740,10377,2570,0,0,3,9,3,1,2.0,1,0,363000,8
1830,18841,3120,1,4,3,9,4,4,1.0,2,0,2400000,9
720,2566,1150,0,0,3,6,2,1,1.0,1,1,181000,4
2010,7650,2010,0,0,4,7,4,1,1.0,1,0,250000,6
770,3000,1390,0,0,4,6,3,3,1.0,1,1,481000,1
1240,7209,1750,0,0,4,7,3,3,1.0,1,0,260000,7
3360,6567,3060,0,0,3,9,4,1,2.0,2,0,455000,9
1510,36224,1730,0,0,3,8,3,1,2.0,1,0,415000,8
800,6331,1620,0,0,3,7,3,3,1.0,1,1,349500,4
1730,6458,1630,0,0,3,7,3,1,2.0,1,0,245000,7
1420,6816,1420,0,2,5,7,2,1,1.5,1,1,592500,2
1180,7620,1910,0,0,4,7,4,4,1.0,1,1,385000,4
1200,10650,1550,0,0,4,7,3,2,1.0,1,0,315000,6
1230,10098,1380,0,0,3,7,3,1,1.0,1,0,255000,7
2460,5659,2990,0,0,3,8,4,1,2.0,2,0,693000,9
1460,4400,1660,0,0,3,8,3,2,1.5,1,1,780000,0
1270,8470,1600,0,0,4,7,3,1,1.0,1,1,237000,5
1320,33450,2380,0,0,3,10,3,3,2.0,1,0,525000,7
770,2580,1330,0,0,3,5,2,1,1.0,1,1,425000,2
760,14267,1230,1,4,5,5,1,1,1.0,1,0,369900,3
1700,7475,1950,0,0,4,7,4,1,2.0,1,0,290000,7
1120,6350,1130,0,0,3,7,3,1,1.0,1,1,285000,4
1070,4465,1320,0,0,3,7,2,1,1.0,1,1,415000,3
1420,8250,2070,0,0,3,8,3,3,1.0,1,0,272500,7
4750,20060,3890,0,2,3,11,4,2,1.5,1,0,2900000,7
5310,47443,4180,0,0,4,11,4,1,2.0,1,0,1370000,8
1040,7530,1440,0,0,4,7,2,1,1.0,1,1,436000,3
1700,8164,1350,0,0,4,7,3,1,1.0,1,0,210000,6
1300,7619,1320,0,0,3,7,3,1,1.0,1,1,236000,5
580,2225,1440,0,0,3,7,3,3,1.0,1,1,331000,4
2653,4927,2653,0,0,3,8,3,1,2.0,2,0,365000,9
2290,10530,1660,0,0,5,8,3,1,1.0,1,0,450000,5
2850,12136,1860,0,0,3,9,4,3,2.0,3,0,770000,10
2210,49385,2670,0,0,3,8,4,1,1.0,2,0,455000,8
1240,6000,2020,0,0,3,6,3,4,1.0,1,1,405000,0
1610,11088,1720,0,0,4,7,4,3,1.0,1,0,304900,6
860,8775,1650,0,0,3,6,2,1,1.0,1,1,170000,2
2630,7556,3050,0,1,5,9,5,4,2.0,1,1,2050000,0
3500,7864,3920,0,0,3,9,4,1,2.0,2,0,780000,9
1740,13300,2570,0,0,4,8,3,3,1.0,1,0,330000,7
2720,8100,2410,0,0,3,9,4,1,2.0,1,0,370000,8
1850,9750,2300,0,0,3,7,5,3,1.0,1,0,467000,7
1140,7320,1670,0,0,3,7,3,3,1.0,1,0,405000,7
1450,10300,2310,0,0,3,8,5,4,1.0,1,0,675000,7
1140,13527,1520,0,0,4,7,2,3,1.0,1,0,500000,4
1890,15256,2410,0,0,4,7,4,1,2.0,1,1,389999,6
1780,9600,2120,0,2,4,8,4,4,1.0,1,0,630000,6
2160,9937,2280,0,0,3,9,4,1,2.0,1,0,360000,8
2270,11004,2320,0,0,3,8,4,4,2.0,1,0,580000,7
1270,4166,2390,0,3,5,8,3,3,2.0,1,1,550000,2
3360,11374,3150,0,0,3,10,4,1,2.0,1,0,879000,8
1320,7316,1740,0,0,3,7,3,1,1.0,1,0,265000,8
2650,7220,2400,0,0,3,8,3,1,2.0,1,0,446500,8
1330,5592,2140,0,0,3,7,3,3,1.0,1,1,404000,5
1090,9052,1630,0,2,3,7,3,3,1.0,1,1,267500,5
2600,19508,4550,1,4,3,10,4,4,1.0,2,0,3080000,9
2440,7903,2510,0,0,3,8,3,1,2.0,2,0,335000,8
970,7310,2190,0,0,4,7,3,3,1.0,1,1,576000,4
2040,4590,2370,0,0,3,8,3,1,2.0,2,0,208633,9
1120,10139,1460,0,0,4,7,3,4,1.0,1,1,315000,5
960,4000,1740,0,0,4,8,3,3,1.0,1,1,725000,1
1400,8275,1800,0,0,4,8,4,2,1.0,1,1,550000,5
2180,9781,2250,0,0,3,8,4,1,2.0,1,0,610750,7
1010,5000,1460,0,0,4,6,2,1,1.5,1,1,550700,0
2220,8330,2720,0,0,5,8,4,4,2.0,1,0,665000,5
1980,5750,2440,0,2,5,8,4,2,1.5,1,1,834000,2
1660,78408,1660,0,0,3,6,5,1,1.5,1,0,201000,1
3370,5400,2880,0,4,5,10,5,2,2.0,1,1,2380000,1
2690,11244,3860,0,3,3,11,4,4,1.0,2,0,1380000,8
2690,11244,3860,0,3,3,11,4,4,1.0,2,0,1400000,8
1350,7350,2150,0,0,3,8,4,3,1.0,1,0,305000,7
1720,8162,1570,0,0,5,8,3,3,1.0,1,1,487000,4
1930,57500,2350,0,0,4,8,3,1,1.0,1,0,390000,7
1170,3864,1570,0,0,4,7,2,2,1.0,1,1,548000,1
800,8775,1310,0,0,3,6,4,1,1.0,1,1,268750,3
3150,8384,1560,0,0,3,9,5,1,2.0,3,0,819900,10
2030,17958,2660,0,0,3,8,3,1,2.0,1,0,520000,7
1450,9518,1520,0,0,3,7,3,1,1.0,2,0,230000,9
1510,9753,1510,0,0,3,7,3,1,1.0,1,0,240000,6
960,7460,1820,0,0,3,6,2,2,1.0,1,1,232000,1
960,7460,1820,0,0,3,6,2,2,1.0,1,1,240500,1
3030,35781,3080,0,0,3,9,3,1,2.0,1,0,274975,7
2050,5500,2320,0,0,4,9,4,1,1.5,1,1,740000,1
1000,7600,1150,0,0,2,7,3,1,1.0,1,1,186375,4
1590,10004,2500,0,0,4,9,3,3,1.0,1,0,790000,6
1890,6120,2370,0,0,3,9,4,3,2.0,1,1,880000,4
2240,7955,1590,0,0,4,7,6,1,2.0,1,1,279000,4
1810,10450,1910,0,2,3,8,3,1,1.0,1,0,295000,8
1070,5000,1710,0,0,3,7,2,1,1.0,1,1,640000,2
2490,9525,2770,0,0,5,9,4,1,2.0,1,0,940000,6
1960,5894,1800,0,0,3,7,4,1,2.0,2,0,260000,9
1860,11045,2580,0,0,3,9,3,4,1.0,2,0,559900,9
1510,3750,1820,0,0,5,7,4,1,1.5,1,1,791500,0
1420,8000,1740,0,0,3,7,3,1,1.0,1,1,265000,4
1740,78408,880,0,0,3,7,3,1,1.0,1,1,245000,4
2560,14764,2560,0,0,4,7,4,1,2.0,1,0,485000,5
2420,8066,3470,0,0,3,9,4,3,2.0,2,0,684000,9
1300,8691,1580,0,0,3,8,3,4,1.0,1,1,425000,5
1275,20000,1660,0,0,4,6,4,1,1.0,1,0,309600,8
2580,5823,2380,0,0,3,8,4,1,2.0,2,0,552250,9
1000,7138,1020,0,0,3,6,4,1,1.0,1,1,165000,3
1000,7138,1020,0,0,3,6,4,1,1.0,1,1,239900,3
1070,32156,1360,0,0,4,6,2,1,1.0,1,0,320000,2
1390,12080,1720,0,0,4,7,3,1,1.0,1,0,206600,7
1250,8646,2040,0,0,3,7,4,4,1.0,1,1,387000,6
560,19207,1300,0,0,3,4,1,1,1.0,1,0,299000,6
2270,10180,2610,0,0,3,9,4,1,2.0,1,0,855000,5
1300,14400,1940,0,0,4,7,3,3,1.0,1,1,315000,4
790,3120,1930,0,2,5,7,2,2,1.0,1,1,437500,0
1050,22654,1640,0,0,4,7,4,3,1.0,1,0,252000,6
1100,5766,1600,0,0,5,7,4,4,1.0,1,1,375000,4
1910,5091,2010,0,0,3,7,4,1,2.0,2,0,300000,9
1750,10530,1750,0,0,4,7,4,1,1.5,1,0,420000,4
1330,17689,1340,0,0,3,7,3,1,1.0,1,0,900000,2
1980,5750,1520,0,2,3,9,3,2,2.0,2,1,679900,9
1640,28399,1580,0,0,3,7,3,1,2.0,1,0,463000,8
2760,11340,2470,0,0,4,9,5,1,2.0,1,0,380000,7
1820,8168,1820,0,0,3,7,4,1,2.0,1,0,329500,8
1340,9363,2040,0,0,3,8,3,3,1.0,3,0,604950,10
1640,8800,2920,0,2,4,8,5,4,1.0,1,0,795000,5
1840,44049,1380,0,0,3,7,3,1,2.0,1,0,465000,8
2990,17449,2140,0,0,3,9,4,1,2.0,2,1,673000,9
3520,21455,3400,0,0,3,10,4,1,2.0,1,0,810000,8
1910,24361,2770,0,0,4,8,4,3,1.0,1,0,785000,8
1370,7650,1810,0,0,3,7,4,3,1.0,1,0,338000,7
1430,7220,1430,0,0,3,7,3,1,2.0,1,0,280000,8
1100,6929,1810,0,0,5,7,4,4,1.0,1,1,315000,4
1100,6929,1810,0,0,5,7,4,4,1.0,1,1,530000,4
3450,9721,2860,0,0,3,9,5,1,2.0,2,0,380000,9
1450,7625,1650,0,0,3,7,3,1,2.0,1,0,297000,8
3230,7447,3480,0,0,3,10,4,1,2.0,2,0,730000,9
1110,12600,1770,0,0,3,7,3,3,1.0,1,1,450000,3
1060,7500,1680,0,0,3,7,3,3,1.0,2,0,275000,8
2020,3120,1910,0,0,3,7,4,1,2.0,1,1,595000,5
1300,2577,1590,0,0,3,7,3,1,1.5,1,1,435000,0
1380,19868,3130,0,0,1,6,2,1,1.0,1,0,270000,4
3030,14142,3360,0,0,3,10,3,4,2.0,1,0,950000,7
2130,6930,2300,0,0,3,7,4,1,2.0,2,0,389000,9
1580,8050,2420,0,0,3,8,4,3,1.0,1,0,560000,6
3480,19009,4050,0,2,3,11,5,4,2.0,2,0,1350000,8
2510,9691,2450,0,0,4,8,4,1,2.0,1,0,799000,6
1410,9600,1410,0,0,4,7,3,1,1.0,1,0,365500,7
1160,7350,1710,0,0,3,7,3,2,1.0,1,0,252350,7
2120,12000,1880,0,0,3,8,4,1,2.0,1,1,403950,8
1380,10020,1610,0,0,3,7,4,3,1.0,1,1,385000,4
1550,7620,1450,0,0,3,7,4,1,1.5,1,1,345000,5
1980,2856,1950,0,0,4,9,3,1,2.0,1,0,490000,7
1600,27743,1790,0,0,3,8,3,1,2.0,2,0,330000,9
3300,12239,3180,0,0,3,8,4,1,2.0,1,0,927000,4
3840,16553,3600,0,1,4,10,4,1,2.0,1,0,1120000,7
1220,9600,2000,0,0,5,7,2,1,1.0,1,0,330000,4
1500,8800,2110,0,0,4,7,5,4,1.0,1,0,530000,5
1940,10071,2000,0,0,1,8,4,1,1.0,1,0,365000,5
1260,3500,1060,0,0,3,7,3,3,1.5,1,1,378750,0
1530,8750,1390,0,0,4,7,4,1,1.5,1,0,269900,6
1290,1543,1630,0,0,3,8,3,2,2.0,2,1,557000,9
2150,16963,1880,0,0,4,7,4,4,1.0,1,0,360000,6
940,4500,1560,0,0,4,7,2,1,1.0,1,1,352000,3
1750,22357,2430,0,0,3,8,3,1,2.0,1,0,437000,8
1820,7107,1820,0,0,3,7,4,1,2.0,1,0,322500,8
1330,1352,1510,0,0,3,9,3,2,2.0,2,1,650000,9
1290,3235,1290,0,0,3,8,3,1,3.0,2,1,450000,9
1570,5250,1570,0,0,3,7,3,1,1.0,2,0,278500,8
