sqft_above,sqft_lot15,sqft_living15,id,waterfront,view,condition,grade,bedrooms,sqft_basement_cat,floors,yr_built_cat,zip,id,price
1510,3264,1590,9547205180,0,0,3,8,3,3,1.5,1,1,9547205180,696000
930,11467,2160,9435300030,0,0,1,5,4,3,1.0,1,0,9435300030,550000
2360,4700,1730,2768000400,0,0,4,8,4,1,2.0,1,1,2768000400,640000
890,7800,1290,7895500070,0,0,2,7,4,2,1.0,1,0,7895500070,240000
2620,11884,2620,2078500320,0,0,3,8,4,1,2.0,2,0,2078500320,605000
2570,5669,2470,5547700270,0,0,3,9,4,1,2.0,2,0,5547700270,625000
2600,30617,2410,7766200013,0,0,3,8,4,4,1.0,1,1,7766200013,775000
3595,5639,3625,7203220400,0,0,3,9,5,1,2.0,3,0,7203220400,861990
1570,2640,1580,9270200160,0,0,3,7,3,1,2.0,1,1,9270200160,685000
920,8808,1340,1432701230,0,0,4,6,3,2,1.0,1,0,1432701230,309000
3160,9232,3050,8035350320,0,0,3,8,3,1,2.0,2,0,8035350320,488000
990,8840,1228,8945200830,0,0,3,6,3,1,1.0,1,0,8945200830,210490
2290,13685,2680,4178300310,0,0,4,9,4,1,2.0,1,0,4178300310,785000
1250,5100,970,9215400105,0,0,4,7,3,1,1.0,1,1,9215400105,450000
2165,72513,2680,822039084,1,2,5,9,3,3,1.0,1,0,822039084,1350000
1190,9364,1190,5245600105,0,0,3,7,3,1,1.0,1,1,5245600105,228000
1640,9133,1990,7231300125,0,0,4,8,5,4,1.0,1,0,7231300125,345000
1000,4080,1410,7518505990,0,0,4,7,3,2,1.0,1,1,7518505990,600000
990,6738,1480,3626039271,0,0,3,7,2,3,1.0,1,1,3626039271,585000
2130,6000,2730,4217401195,0,0,3,8,5,3,1.5,1,1,4217401195,920000
2830,5000,1950,9822700295,0,0,3,9,4,1,2.0,2,1,9822700295,885000
2250,4500,2250,9478500640,0,0,3,7,4,1,2.0,2,0,9478500640,292500
2420,4750,2690,2799800710,0,0,3,8,3,1,2.0,2,0,2799800710,301000
3250,11044,2960,7922800400,0,4,4,8,5,1,2.0,1,0,7922800400,951000
1850,8542,2270,8079040320,0,0,3,8,4,1,2.0,1,0,8079040320,430000
1590,18900,2570,1516000055,0,3,4,8,3,3,1.0,1,1,1516000055,650000
1260,8750,1290,9558200045,0,0,3,7,3,1,1.0,1,1,9558200045,289000
2519,9500,2500,5072410070,0,0,5,8,3,1,2.0,1,1,5072410070,505000
1540,3090,1580,9528102996,0,0,3,8,3,1,3.0,3,1,9528102996,549000
1110,4080,1440,1189001180,0,0,3,7,3,3,1.0,1,1,1189001180,425000
1770,4000,1440,3253500160,0,0,5,7,3,4,1.5,1,1,3253500160,317625
2720,11049,2750,3394100030,0,0,3,10,4,1,2.0,1,0,3394100030,975000
2240,4557,2221,3717000160,0,0,3,7,4,1,2.0,2,0,3717000160,287000
1000,12635,1010,1274500060,0,0,4,7,3,1,1.0,1,0,1274500060,204000
1600,20158,3390,1802000060,0,0,3,8,5,4,1.0,1,0,1802000060,1330000
3070,38917,3530,1525059190,0,0,4,11,5,4,1.0,1,0,1525059190,1040000
1260,4745,1640,1049000060,0,0,4,7,3,1,1.0,1,0,1049000060,325000
2250,7807,1510,8820901275,0,0,5,7,4,3,1.5,1,1,8820901275,571000
2380,5000,2420,5416510140,0,0,3,8,4,1,2.0,2,0,5416510140,360000
1090,50529,1940,3444100400,0,0,5,7,3,3,1.0,1,0,3444100400,349000
2390,35020,3240,3276920270,0,0,4,10,4,4,2.0,1,0,3276920270,832500
880,7500,1680,4036801170,0,0,3,7,4,3,1.0,1,0,4036801170,380000
1040,5060,890,2391600320,0,0,3,7,3,1,1.0,1,1,2391600320,480000
910,5693,1130,6300000287,0,0,4,7,3,3,1.0,1,1,6300000287,410000
3450,39750,3350,1531000030,0,0,3,10,4,1,2.0,2,0,1531000030,720000
2350,5363,2350,5104520400,0,0,3,8,3,1,2.0,2,0,5104520400,390000
1900,6405,1870,7437100340,0,0,3,7,4,1,2.0,1,0,7437100340,360000
1010,6720,1720,9418400240,0,0,3,7,2,4,1.0,1,1,9418400240,355000
1680,8797,1850,1523059105,0,0,3,8,3,1,1.0,1,0,1523059105,356000
960,7203,1570,1133000671,0,0,3,6,3,1,1.0,1,1,1133000671,315000
1900,4800,2020,4232902595,0,0,3,9,3,2,2.0,1,1,4232902595,940000
2660,8165,1590,2599001200,0,0,5,7,5,1,1.5,1,0,2599001200,305000
1980,7349,1900,3342103156,0,0,3,9,3,3,2.0,2,0,3342103156,461000
1610,2025,1950,1332700270,0,0,4,7,2,1,2.0,1,0,1332700270,215000
765,1106,1030,3869900162,0,0,3,7,2,2,2.0,2,1,3869900162,335000
1980,7510,1980,2791500270,0,0,3,7,4,1,2.0,1,0,2791500270,243500
3520,6250,2520,5036300431,0,0,4,10,5,1,2.0,2,1,5036300431,1100000
1200,10500,1350,4168000060,0,0,3,7,3,1,1.0,1,0,4168000060,153000
1290,4500,1570,6021501535,0,0,3,8,3,2,1.0,1,1,6021501535,430000
1290,4500,1570,6021501535,0,0,3,8,3,2,1.0,1,1,6021501535,700000
2390,6045,1950,1483300570,0,0,3,7,4,3,1.0,1,0,1483300570,905000
1960,15616,1750,3422049190,0,0,3,7,3,1,1.0,1,0,3422049190,247500
1160,6400,1160,1099611230,0,0,4,7,4,1,1.0,1,0,1099611230,199000
1210,135036,1650,722079104,0,0,5,7,3,3,1.0,1,0,722079104,314000
2320,35065,2550,7338200240,0,2,3,9,3,1,2.0,1,0,7338200240,437500
1270,4500,2200,1952200240,0,0,5,9,3,3,1.5,1,1,1952200240,850830
1440,3478,1610,5200100125,0,0,4,7,3,3,1.5,1,1,5200100125,555000
2190,47777,2570,7214720075,0,0,4,8,3,1,2.0,1,0,7214720075,699950
2920,8113,2370,2450000295,0,0,3,8,3,1,2.0,1,0,2450000295,1090000
1210,14910,1640,6197800045,0,0,3,7,3,1,1.0,1,0,6197800045,290000
1460,8162,2250,1328310370,0,0,4,8,3,3,1.0,1,0,1328310370,375000
1170,4005,1240,546000875,0,0,4,7,3,3,1.5,1,1,546000875,460000
1240,4966,1270,3530510041,0,0,4,8,2,1,1.0,1,1,3530510041,188500
3140,35001,2990,1853000400,0,0,4,10,4,1,2.0,1,0,1853000400,680000
2030,9433,2500,3134100116,0,0,4,7,5,1,2.0,1,0,3134100116,470000
2310,9636,1940,9545230140,0,0,3,8,4,1,2.0,1,0,9545230140,597750
700,3536,1380,3362400511,0,0,5,6,3,3,1.0,1,1,3362400511,570000
1160,11656,1540,2525310310,0,0,4,7,3,2,1.0,1,0,2525310310,272500
1080,5500,2090,6126500060,0,2,3,7,3,4,1.0,1,1,6126500060,329950
2520,8517,2640,8961960160,0,3,3,9,4,3,2.0,2,0,8961960160,480000
2780,6350,1830,3626039325,0,0,3,8,3,4,2.0,1,1,3626039325,740500
1590,3166,1620,3362400431,0,0,3,8,3,1,3.0,2,1,3362400431,518500
880,6780,1190,4060000240,0,0,4,6,2,1,1.0,1,1,4060000240,205425
1570,9000,1880,3454800060,0,0,3,6,4,1,1.0,1,1,3454800060,171800
1610,4040,1610,1695900060,0,0,4,7,4,1,1.5,1,1,1695900060,535000
1560,10856,2340,7278700070,0,2,3,8,3,3,1.0,1,1,7278700070,660000
1450,9104,1580,6675500070,0,0,3,7,3,1,1.0,1,0,6675500070,391500
770,6000,1710,3626039187,0,0,3,6,2,1,1.0,1,1,3626039187,395000
1720,4400,1850,3524049083,0,0,5,7,4,2,1.5,1,1,3524049083,445000
2910,13992,2700,3275860240,0,0,3,9,3,1,2.0,1,0,3275860240,770000
1980,11275,3060,4389200955,0,0,3,8,4,3,1.5,1,0,4389200955,1450000
1620,8712,2660,4058801670,0,2,3,8,3,2,1.0,1,1,4058801670,445000
1360,8400,2090,8732020310,0,0,3,8,4,3,1.0,1,0,8732020310,260000
1720,4960,1700,2331300505,0,0,5,7,5,3,2.0,1,1,2331300505,822500
2070,3748,1970,7853210060,0,0,3,7,4,1,2.0,2,0,7853210060,430000
1060,7680,1420,3668000070,0,0,4,7,3,1,1.0,1,0,3668000070,212000
1440,9793,2060,9545240070,0,0,3,8,4,3,1.0,1,0,9545240070,660500
2460,88500,2480,1243100136,0,0,3,9,3,4,1.5,1,0,1243100136,784000
1390,1662,1690,8929000270,0,0,3,8,3,3,2.0,3,0,8929000270,453246
2140,2285,1540,2767602356,0,0,3,9,4,1,3.0,2,1,2767602356,675000
1320,19265,1550,921049315,0,0,4,7,3,1,1.0,1,0,921049315,199000
1010,8140,1750,3655000070,0,0,3,7,4,4,1.0,1,0,3655000070,220000
1340,10436,1550,4027700812,0,0,4,8,4,4,1.0,1,0,4027700812,452000
1190,5715,1060,3992700335,0,0,3,6,2,1,1.0,1,1,3992700335,382500
1170,1310,1350,2767603505,0,0,3,8,3,1,3.0,3,1,2767603505,519950
1110,3600,1170,4232901525,0,0,3,7,2,1,1.0,1,1,4232901525,665000
1550,9375,2820,1777500060,0,0,4,8,5,4,1.0,1,0,1777500060,527700
1010,8579,1610,1432900240,0,0,4,7,3,3,1.0,1,0,1432900240,205000
940,7940,1560,6140100875,0,0,4,7,3,2,1.0,1,1,6140100875,420000
1380,8824,2230,6071600370,0,0,4,8,4,3,1.0,1,0,6071600370,500000
3670,87991,2840,1526069017,0,0,4,9,4,1,2.0,1,0,1526069017,921500
2370,4000,2200,809001525,0,0,3,8,4,2,2.0,1,1,809001525,890000
2420,193842,1940,3224079105,0,0,3,7,2,1,2.0,2,0,3224079105,430000
1130,18000,1360,8075400570,0,0,4,8,5,4,1.0,1,0,8075400570,258000
980,4599,1450,1994200024,0,0,3,7,3,2,1.0,1,1,1994200024,511000
1360,3090,1500,3362900810,0,0,3,8,3,1,2.0,1,1,3362900810,532170
1110,5000,1420,1324300398,0,0,3,7,3,1,1.5,1,1,1324300398,560000
1250,8633,1680,537000445,0,0,4,7,3,1,1.0,1,0,537000445,282950
3540,9750,3160,7855801670,0,3,3,12,4,4,2.0,2,0,7855801670,2250000
700,5100,1010,7920100045,0,0,3,7,1,1,1.0,1,1,7920100045,350000
1180,7669,1190,8960000030,0,0,4,7,3,1,1.0,1,0,8960000030,215000
2500,13675,2640,6388930390,0,0,3,9,5,4,2.0,2,0,6388930390,650000
1620,7875,1980,8731900200,0,0,3,8,4,4,1.0,1,0,8731900200,320000
1270,7198,1160,8029200135,0,0,3,7,3,1,1.5,1,0,8029200135,247000
1760,11180,1730,1081200350,0,0,4,8,4,1,1.0,1,0,1081200350,320000
1030,11680,1010,84000105,0,0,3,7,5,4,1.0,1,1,84000105,255000
1780,9660,1200,3756500060,0,0,3,7,3,1,1.0,1,0,3756500060,438000
3400,12601,3400,7215720160,0,0,3,10,3,1,2.0,2,0,7215720160,900000
1160,8152,1710,3574800520,0,0,3,7,3,3,1.0,1,0,3574800520,441000
1010,36590,2110,2617300160,0,0,4,7,3,4,1.0,1,0,2617300160,420000
1180,7500,1640,2558660270,0,0,3,7,3,2,1.0,1,0,2558660270,370000
700,9750,1830,2009000370,0,0,5,5,2,3,1.0,1,1,2009000370,269950
2680,4500,2920,1836980160,0,0,3,9,4,1,2.0,2,0,1836980160,807100
1610,8750,2480,3261020370,0,0,4,8,3,4,1.0,1,0,3261020370,653000
1370,7288,1770,1755700060,0,0,5,7,3,1,1.0,1,1,1755700060,371500
1560,7920,1070,4330600435,0,0,3,7,3,1,1.0,1,1,4330600435,284000
1670,7350,1930,9542800700,0,0,4,7,3,2,1.0,1,0,9542800700,272000
1340,7940,1480,1999700045,0,0,3,7,3,1,1.5,1,1,1999700045,313000
2570,35230,3740,1762600070,0,0,3,10,4,4,2.0,1,0,1762600070,917500
2590,8335,2260,1687900520,0,0,4,8,4,1,2.0,1,0,1687900520,673000
820,1795,1590,7234600798,0,0,3,8,3,2,2.0,2,1,7234600798,425000
1320,2150,1280,3881900445,0,0,3,7,5,3,1.0,1,1,3881900445,399950
1220,4800,1200,2254502445,0,0,3,6,3,1,1.0,1,1,2254502445,385000
1320,8941,1950,5437810320,0,2,4,7,3,3,1.0,1,0,5437810320,269950
1060,8280,1540,9158100075,0,0,3,7,2,2,1.0,1,1,9158100075,330000
1670,6183,1670,3830630310,0,0,3,7,3,1,2.0,1,0,3830630310,260000
1680,5375,1410,8123100045,0,0,4,7,4,3,1.5,1,1,8123100045,470000
2440,9600,2290,3127200041,0,0,5,7,4,1,2.0,1,0,3127200041,589000
1050,3417,1050,6661200320,0,0,3,7,2,1,2.0,2,0,6661200320,163500
2140,9984,2260,11510310,0,0,3,9,4,3,2.0,1,0,11510310,835000
2090,10270,2540,825059270,0,2,4,10,5,4,1.0,1,0,825059270,1100000
1100,8910,2190,8731951370,0,0,4,8,4,2,1.0,1,0,8731951370,269000
1900,8744,2030,1954440060,0,0,3,8,3,1,2.0,1,0,1954440060,560000
1330,4400,1330,2264500350,0,0,4,6,4,1,1.5,1,1,2264500350,615000
1430,9340,2230,1115810060,0,0,3,8,3,3,1.0,1,0,1115810060,585188
1220,8400,1540,9477200200,0,0,3,7,3,2,1.0,1,0,9477200200,305000
1190,7980,1230,1432600560,0,0,3,6,3,1,1.0,1,0,1432600560,166950
2140,10083,2680,2287000060,0,0,4,8,3,1,1.0,1,0,2287000060,799000
1420,7818,1900,3663500060,0,0,4,7,3,3,1.0,1,1,3663500060,400000
1060,10228,1570,3996900125,0,0,3,7,3,1,1.0,1,1,3996900125,230000
1690,5001,2550,7796450200,0,0,3,8,3,1,2.0,2,0,7796450200,256883
1130,6480,1500,7549802535,0,0,5,7,4,3,1.5,1,1,7549802535,423000
2150,2385,1750,3278600320,0,0,3,8,3,1,2.0,2,1,3278600320,465000
1910,67268,2330,2824079053,0,0,3,7,3,1,2.0,2,0,2824079053,440000
1350,50965,1560,1222069094,0,0,4,7,3,1,1.0,1,0,1222069094,385000
860,9514,1300,3542300060,0,0,4,6,3,1,1.0,1,0,3542300060,210000
1940,10450,2030,2222059065,0,0,3,8,3,1,2.0,1,0,2222059065,297000
1010,5000,1680,7551300060,0,0,3,7,3,1,1.0,1,1,7551300060,470000
900,7500,1430,100600550,0,0,4,7,3,2,1.0,1,0,100600550,226500
910,8040,1400,3211100860,0,0,4,6,3,1,1.0,1,0,3211100860,274250
1630,10744,2770,3456000310,0,0,4,9,4,3,1.0,1,0,3456000310,840000
2440,4587,2750,9526600140,0,0,3,8,3,1,2.0,2,0,9526600140,677900
1010,5000,1290,7465900060,0,0,3,7,3,1,1.0,1,1,7465900060,425000
900,14280,1250,1222000055,0,0,3,6,2,1,1.0,1,1,1222000055,180250
1600,1312,1560,6300000550,0,0,3,7,6,3,2.0,1,1,6300000550,464000
1550,6397,1630,2310030510,0,0,3,8,4,1,2.0,1,0,2310030510,320000
1060,1327,1160,1025049114,0,0,3,8,3,2,2.0,3,1,1025049114,625504
2240,12368,2520,8677300550,0,0,3,9,4,1,1.0,1,0,8677300550,592500
2714,18386,2590,4014400292,0,0,3,9,3,1,2.0,2,0,4014400292,465000
1720,8700,2130,1102000196,0,0,3,8,4,1,2.0,1,1,1102000196,477000
850,14459,1100,257000138,0,0,3,6,2,1,1.0,1,1,257000138,280000
1870,20953,3836,46100204,0,3,3,9,5,4,1.0,1,0,46100204,1510000
2250,5390,1320,1909600046,0,0,3,8,3,1,2.0,2,1,1909600046,445838
1950,5184,2580,1250202145,0,3,3,8,2,4,1.0,1,1,1250202145,1070000
1320,12040,2120,7611200125,0,0,4,8,2,1,1.0,1,1,7611200125,467000
2760,8127,3070,5611500140,0,0,3,10,4,1,2.0,2,0,5611500140,686000
1350,10125,1900,7138000260,0,0,3,7,3,2,1.0,1,1,7138000260,279950
2330,10055,1910,626059335,0,0,3,8,4,1,2.0,1,0,626059335,527000
1780,9583,2080,1922059282,0,0,4,8,3,2,1.0,1,0,1922059282,325000
2020,8031,2020,705700390,0,0,3,7,3,1,2.0,1,0,705700390,328000
1250,7392,1280,7454001200,0,0,5,7,3,1,1.0,1,1,7454001200,390000
1510,6009,1640,8682281200,0,0,3,8,2,1,1.0,2,0,8682281200,479950
1120,9753,1510,7972000200,0,0,4,7,4,3,1.0,1,0,7972000200,264950
980,13068,1960,722059070,0,0,4,7,3,2,1.0,1,0,722059070,235000
1480,4729,2250,7202340400,0,0,3,7,3,1,2.0,2,0,7202340400,516500
1230,13193,2030,8096000060,1,4,3,7,2,2,2.0,1,1,8096000060,655000
2280,15347,2280,2424000060,0,0,5,7,4,1,1.0,1,0,2424000060,500000
1780,8236,2120,9264902050,0,0,3,8,6,4,1.0,1,0,9264902050,315000
1000,13702,1150,943100260,0,0,3,6,2,1,1.0,1,0,943100260,213000
1620,4800,2090,3677400445,0,0,5,7,3,3,1.5,1,1,3677400445,475000
3760,35096,3430,1762600320,0,0,3,10,5,1,2.0,1,0,1762600320,1030000
1640,80100,2070,4058000060,0,0,5,7,3,3,1.0,1,0,4058000060,416000
1670,4740,1510,7228500560,0,0,3,7,4,2,1.5,1,1,7228500560,410000
3530,148539,2920,326069104,0,0,3,10,3,2,2.0,1,0,326069104,800000
2350,13988,2600,5152100060,0,2,4,9,6,4,1.0,1,0,5152100060,472000
1430,8640,1190,3584000310,0,0,4,7,3,1,1.0,1,0,3584000310,225000
830,4960,830,8150100045,0,0,3,6,2,1,1.0,1,1,8150100045,210000
1430,3750,1450,1868901275,0,0,2,7,2,1,1.5,1,1,1868901275,455000
1300,8316,1260,6131600075,0,0,4,6,3,1,1.0,1,0,6131600075,225000
790,3060,1390,9468200125,0,2,4,7,2,2,1.0,1,1,9468200125,480000
2740,10377,2570,8029510030,0,0,3,9,3,1,2.0,1,0,8029510030,363000
1830,18841,3120,2025069065,1,4,3,9,4,4,1.0,2,0,2025069065,2400000
720,2566,1150,7899800890,0,0,3,6,2,1,1.0,1,1,7899800890,181000
2010,7650,2010,3021059276,0,0,4,7,4,1,1.0,1,0,3021059276,250000
770,3000,1390,3797001895,0,0,4,6,3,3,1.0,1,1,3797001895,481000
1240,7209,1750,3832710960,0,0,4,7,3,3,1.0,1,0,3832710960,260000
3360,6567,3060,1310430400,0,0,3,9,4,1,2.0,2,0,1310430400,455000
1510,36224,1730,1422300030,0,0,3,8,3,1,2.0,1,0,1422300030,415000
800,6331,1620,1105000588,0,0,3,7,3,3,1.0,1,1,1105000588,349500
1730,6458,1630,3830630060,0,0,3,7,3,1,2.0,1,0,3830630060,245000
1420,6816,1420,5101404898,0,2,5,7,2,1,1.5,1,1,5101404898,592500
1180,7620,1910,7972601890,0,0,4,7,4,4,1.0,1,1,7972601890,385000
1200,10650,1550,5127001620,0,0,4,7,3,2,1.0,1,0,5127001620,315000
1230,10098,1380,9407100800,0,0,3,7,3,1,1.0,1,0,9407100800,255000
2460,5659,2990,1873100060,0,0,3,8,4,1,2.0,2,0,1873100060,693000
1460,4400,1660,8722101360,0,0,3,8,3,2,1.5,1,1,8722101360,780000
1270,8470,1600,8644000060,0,0,4,7,3,1,1.0,1,1,8644000060,237000
1320,33450,2380,3325069129,0,0,3,10,3,3,2.0,1,0,3325069129,525000
770,2580,1330,1400300055,0,0,3,5,2,1,1.0,1,1,1400300055,425000
760,14267,1230,2123039032,1,4,5,5,1,1,1.0,1,0,2123039032,369900
1700,7475,1950,8078560140,0,0,4,7,4,1,2.0,1,0,8078560140,290000
1120,6350,1130,3438500192,0,0,3,7,3,1,1.0,1,1,3438500192,285000
1070,4465,1320,7974200510,0,0,3,7,2,1,1.0,1,1,7974200510,415000
1420,8250,2070,2557000400,0,0,3,8,3,3,1.0,1,0,2557000400,272500
4750,20060,3890,7960900060,0,2,3,11,4,2,1.5,1,0,7960900060,2900000
5310,47443,4180,4054500390,0,0,4,11,4,1,2.0,1,0,4054500390,1370000
1040,7530,1440,6378500125,0,0,4,7,2,1,1.0,1,1,6378500125,436000
1700,8164,1350,1745100140,0,0,4,7,3,1,1.0,1,0,1745100140,210000
1300,7619,1320,2976800796,0,0,3,7,3,1,1.0,1,1,2976800796,236000
580,2225,1440,4235400186,0,0,3,7,3,3,1.0,1,1,4235400186,331000
2653,4927,2653,4215100060,0,0,3,8,3,1,2.0,2,0,4215100060,365000
2290,10530,1660,9189700045,0,0,5,8,3,1,1.0,1,0,9189700045,450000
2850,12136,1860,1126049053,0,0,3,9,4,3,2.0,3,0,1126049053,770000
2210,49385,2670,2022069200,0,0,3,8,4,1,1.0,2,0,2022069200,455000
1240,6000,2020,9412900055,0,0,3,6,3,4,1.0,1,1,9412900055,405000
1610,11088,1720,1722059235,0,0,4,7,4,3,1.0,1,0,1722059235,304900
860,8775,1650,6874200960,0,0,3,6,2,1,1.0,1,1,6874200960,170000
2630,7556,3050,7424700045,0,1,5,9,5,4,2.0,1,1,7424700045,2050000
3500,7864,3920,7202360350,0,0,3,9,4,1,2.0,2,0,7202360350,780000
1740,13300,2570,5634500392,0,0,4,8,3,3,1.0,1,0,5634500392,330000
2720,8100,2410,1509500060,0,0,3,9,4,1,2.0,1,0,1509500060,370000
1850,9750,2300,7214810350,0,0,3,7,5,3,1.0,1,0,7214810350,467000
1140,7320,1670,6647200060,0,0,3,7,3,3,1.0,1,0,6647200060,405000
1450,10300,2310,9552700140,0,0,3,8,5,4,1.0,1,0,9552700140,675000
1140,13527,1520,2200500350,0,0,4,7,2,3,1.0,1,0,2200500350,500000
1890,15256,2410,6113400046,0,0,4,7,4,1,2.0,1,1,6113400046,389999
1780,9600,2120,6619910140,0,2,4,8,4,4,1.0,1,0,6619910140,630000
2160,9937,2280,1115450240,0,0,3,9,4,1,2.0,1,0,1115450240,360000
2270,11004,2320,6073240060,0,0,3,8,4,4,2.0,1,0,6073240060,580000
1270,4166,2390,9297300045,0,3,5,8,3,3,2.0,1,1,9297300045,550000
3360,11374,3150,9510920070,0,0,3,10,4,1,2.0,1,0,9510920070,879000
1320,7316,1740,5468730030,0,0,3,7,3,1,1.0,1,0,5468730030,265000
2650,7220,2400,8079030390,0,0,3,8,3,1,2.0,1,0,8079030390,446500
1330,5592,2140,600000152,0,0,3,7,3,3,1.0,1,1,600000152,404000
1090,9052,1630,1840000030,0,2,3,7,3,3,1.0,1,1,1840000030,267500
2600,19508,4550,3225069065,1,4,3,10,4,4,1.0,2,0,3225069065,3080000
2440,7903,2510,3260800030,0,0,3,8,3,1,2.0,2,0,3260800030,335000
970,7310,2190,2747100024,0,0,4,7,3,3,1.0,1,1,2747100024,576000
2040,4590,2370,5104530560,0,0,3,8,3,1,2.0,2,0,5104530560,208633
1120,10139,1460,4330600350,0,0,4,7,3,4,1.0,1,1,4330600350,315000
960,4000,1740,5016001535,0,0,4,8,3,3,1.0,1,1,5016001535,725000
1400,8275,1800,7280300196,0,0,4,8,4,2,1.0,1,1,7280300196,550000
2180,9781,2250,8651520400,0,0,3,8,4,1,2.0,1,0,8651520400,610750
1010,5000,1460,7171200445,0,0,4,6,2,1,1.5,1,1,7171200445,550700
2220,8330,2720,3204800200,0,0,5,8,4,4,2.0,1,0,3204800200,665000
1980,5750,2440,3416600800,0,2,5,8,4,2,1.5,1,1,3416600800,834000
1660,78408,1660,7994700030,0,0,3,6,5,1,1.5,1,0,7994700030,201000
3370,5400,2880,1860600135,0,4,5,10,5,2,2.0,1,1,1860600135,2380000
2690,11244,3860,4139480200,0,3,3,11,4,4,1.0,2,0,4139480200,1380000
2690,11244,3860,4139480200,0,3,3,11,4,4,1.0,2,0,4139480200,1400000
1350,7350,2150,1328320800,0,0,3,8,4,3,1.0,1,0,1328320800,305000
1720,8162,1570,7771300125,0,0,5,8,3,3,1.0,1,1,7771300125,487000
1930,57500,2350,3422059208,0,0,4,8,3,1,1.0,1,0,3422059208,390000
1170,3864,1570,9521101455,0,0,4,7,2,2,1.0,1,1,9521101455,548000
800,8775,1310,4337000335,0,0,3,6,4,1,1.0,1,1,4337000335,268750
3150,8384,1560,325059286,0,0,3,9,5,1,2.0,3,0,325059286,819900
2030,17958,2660,2597650240,0,0,3,8,3,1,2.0,1,0,2597650240,520000
1450,9518,1520,3353400435,0,0,3,7,3,1,1.0,2,0,3353400435,230000
1510,9753,1510,7972000240,0,0,3,7,3,1,1.0,1,0,7972000240,240000
960,7460,1820,7520000520,0,0,3,6,2,2,1.0,1,1,7520000520,232000
960,7460,1820,7520000520,0,0,3,6,2,2,1.0,1,1,7520000520,240500
3030,35781,3080,3530210260,0,0,3,9,3,1,2.0,1,0,3530210260,274975
2050,5500,2320,1959700550,0,0,4,9,4,1,1.5,1,1,1959700550,740000
1000,7600,1150,1665400045,0,0,2,7,3,1,1.0,1,1,1665400045,186375
1590,10004,2500,9542850320,0,0,4,9,3,3,1.0,1,0,9542850320,790000
1890,6120,2370,3179100060,0,0,3,9,4,3,2.0,1,1,3179100060,880000
